db,taxa,phylum,class,order,suborder,superfamily,family,subfamily,genus,species,readsT,occurPer,pathString
ncbi,Cyprinodontiformes,Chordata,Actinopteri,Cyprinodontiformes,NA,NA,NA,NA,NA,NA,2,9,Chordata/Actinopteri/Cyprinodontiformes/
ncbi,Chrysemys picta,Chordata,Reptilia,Testudines,Cryptodira,Testudinoidea,Emydidae,NA,Chrysemys,Chrysemys picta,2,6,Chordata/Reptilia/Testudines/Cryptodira/Testudinoidea/Emydidae/NA/Chrysemys/Chrysemys picta/
ncbi,Apeltes quadracus,Chordata,Actinopteri,Perciformes,Cottioidei,NA,Gasterosteidae,NA,Apeltes,Apeltes quadracus,4,6,Chordata/Actinopteri/Perciformes/Cottioidei/NA/Gasterosteidae/NA/Apeltes/Apeltes quadracus/
ncbi,Catostomus commersonii,Chordata,Actinopteri,Cypriniformes,Catostomoidei,NA,Catostomidae,NA,Catostomus,Catostomus commersonii,1,3,Chordata/Actinopteri/Cypriniformes/Catostomoidei/NA/Catostomidae/NA/Catostomus/Catostomus commersonii/
ncbi,Soricidae,Chordata,Mammalia,Eulipotyphla,NA,NA,Soricidae,NA,NA,NA,1,6,Chordata/Mammalia/Eulipotyphla/NA/NA/Soricidae/
ncbi,Rattus norvegicus,Chordata,Mammalia,Rodentia,Myomorpha,NA,Muridae,Murinae,Rattus,Rattus norvegicus,7,9,Chordata/Mammalia/Rodentia/Myomorpha/NA/Muridae/Murinae/Rattus/Rattus norvegicus/
ncbi,Tamiasciurus hudsonicus,Chordata,Mammalia,Rodentia,Sciuromorpha,NA,Sciuridae,Sciurinae,Tamiasciurus,Tamiasciurus hudsonicus,6,3,Chordata/Mammalia/Rodentia/Sciuromorpha/NA/Sciuridae/Sciurinae/Tamiasciurus/Tamiasciurus hudsonicus/
ncbi,Muridae,Chordata,Mammalia,Rodentia,Myomorpha,NA,Muridae,NA,NA,NA,2,9,Chordata/Mammalia/Rodentia/Myomorpha/NA/Muridae/
ncbi,Bos taurus,Chordata,Mammalia,Artiodactyla,Ruminantia,NA,Bovidae,Bovinae,Bos,Bos taurus,6,11,Chordata/Mammalia/Artiodactyla/Ruminantia/NA/Bovidae/Bovinae/Bos/Bos taurus/
ncbi,Bovinae,Chordata,Mammalia,Artiodactyla,Ruminantia,NA,Bovidae,Bovinae,NA,NA,1,3,Chordata/Mammalia/Artiodactyla/Ruminantia/NA/Bovidae/Bovinae/
ncbi,Anatidae,Chordata,Aves,Anseriformes,NA,NA,Anatidae,NA,NA,NA,1,3,Chordata/Aves/Anseriformes/NA/NA/Anatidae/
ncbi,Fringillidae,Chordata,Aves,Passeriformes,NA,Passeroidea,Fringillidae,NA,NA,NA,1,3,Chordata/Aves/Passeriformes/NA/Passeroidea/Fringillidae/
ncbi,Apeltes,Chordata,Actinopteri,Perciformes,Cottioidei,NA,Gasterosteidae,NA,Apeltes,NA,1,3,Chordata/Actinopteri/Perciformes/Cottioidei/NA/Gasterosteidae/NA/Apeltes/
ncbi,Equus,Chordata,Mammalia,Perissodactyla,NA,NA,Equidae,NA,Equus,NA,5,6,Chordata/Mammalia/Perissodactyla/NA/NA/Equidae/NA/Equus/
ncbi,Canis lupus,Chordata,Mammalia,Carnivora,Caniformia,NA,Canidae,NA,Canis,Canis lupus,3,3,Chordata/Mammalia/Carnivora/Caniformia/NA/Canidae/NA/Canis/Canis lupus/
ncbi,Hominidae,Chordata,Mammalia,Primates,Haplorrhini,Hominoidea,Hominidae,NA,NA,NA,2,6,Chordata/Mammalia/Primates/Haplorrhini/Hominoidea/Hominidae/
