Serial Number,WF1661142
Sample ID,00034
Start Time,2023-06-15 13:15:00 UTC
Duration,0:16:49
Total Volume (l),8.13
Distance (m),28
Peak Pressure (psi),12.2
Avg Flow (l/min),0.5
Avg Rate (mL/m),362.9
Avg Speed (m/s),0.0


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2023-06-15 13:15:00,0,0.00,-0.07,0.00,0.00,0.04,47.201483,-60.158620,42.8,2.9
2023-06-15 13:15:02,2,0.00,0.47,0.00,0.00,0.04,47.201484,-60.158619,42.8,2.9
2023-06-15 13:15:04,4,0.01,0.20,0.21,108.19,0.03,47.201483,-60.158618,42.9,2.9
2023-06-15 13:15:06,6,0.03,0.37,0.49,232.67,0.04,47.201482,-60.158618,43.1,2.3
2023-06-15 13:15:08,8,0.04,1.20,0.33,158.50,0.03,47.201481,-60.158616,43.2,2.3
2023-06-15 13:15:10,10,0.04,4.23,0.21,120.07,0.03,47.201481,-60.158614,43.1,2.3
2023-06-15 13:15:12,12,0.05,5.26,0.09,50.93,0.03,47.201480,-60.158614,43.1,2.3
2023-06-15 13:15:14,14,0.05,5.28,0.03,17.99,0.03,47.201480,-60.158613,43.2,2.3
2023-06-15 13:15:16,16,0.05,5.25,0.01,6.96,0.02,47.201480,-60.158613,43.2,2.3
2023-06-15 13:15:18,18,0.05,5.23,0.01,7.29,0.02,47.201480,-60.158612,43.1,2.3
2023-06-15 13:15:20,20,0.05,5.20,0.00,0.00,0.02,47.201480,-60.158612,43.1,2.3
2023-06-15 13:15:22,22,0.05,6.10,0.00,0.00,0.02,47.201480,-60.158611,43.0,2.3
2023-06-15 13:15:24,24,0.05,9.86,0.15,134.77,0.02,47.201480,-60.158612,43.0,2.3
2023-06-15 13:15:26,26,0.08,10.42,0.56,590.72,0.02,47.201480,-60.158612,43.0,2.3
2023-06-15 13:15:28,28,0.10,9.92,0.71,730.45,0.02,47.201482,-60.158612,42.8,2.3
2023-06-15 13:15:30,30,0.12,7.06,0.64,640.64,0.02,47.201482,-60.158612,42.7,2.3
2023-06-15 13:15:32,32,0.14,6.59,0.59,603.27,0.02,47.201483,-60.158613,42.6,2.3
2023-06-15 13:15:34,34,0.16,6.32,0.51,532.92,0.02,47.201482,-60.158614,42.5,2.3
2023-06-15 13:15:36,36,0.18,5.37,0.53,568.06,0.02,47.201482,-60.158615,42.5,2.3
2023-06-15 13:15:38,38,0.19,5.98,0.50,546.45,0.02,47.201482,-60.158616,42.5,2.3
2023-06-15 13:15:40,40,0.21,5.68,0.50,550.06,0.02,47.201483,-60.158616,42.5,2.3
2023-06-15 13:15:42,42,0.23,6.00,0.51,559.21,0.02,47.201483,-60.158617,42.5,2.3
2023-06-15 13:15:44,44,0.24,6.09,0.49,609.45,0.01,47.201483,-60.158618,42.5,2.3
2023-06-15 13:15:46,46,0.26,5.95,0.51,622.71,0.01,47.201483,-60.158618,42.5,2.3
2023-06-15 13:15:48,48,0.28,6.11,0.50,617.28,0.01,47.201483,-60.158618,42.5,2.3
2023-06-15 13:15:50,50,0.29,5.94,0.50,584.80,0.01,47.201483,-60.158618,42.5,2.3
2023-06-15 13:15:52,52,0.31,5.71,0.50,661.38,0.01,47.201483,-60.158619,42.5,2.3
2023-06-15 13:15:54,54,0.33,6.09,0.50,591.02,0.01,47.201483,-60.158619,42.6,2.3
2023-06-15 13:15:56,56,0.34,5.89,0.50,493.10,0.02,47.201482,-60.158619,42.7,2.3
2023-06-15 13:15:58,58,0.36,6.04,0.50,509.68,0.02,47.201482,-60.158619,42.8,2.3
2023-06-15 13:16:00,60,0.38,5.89,0.50,476.19,0.02,47.201481,-60.158620,43.0,2.3
2023-06-15 13:16:02,62,0.39,6.01,0.50,452.90,0.02,47.201481,-60.158621,43.2,2.3
2023-06-15 13:16:04,64,0.41,5.90,0.50,440.92,0.02,47.201480,-60.158621,43.3,2.3
2023-06-15 13:16:06,66,0.43,6.32,0.50,423.01,0.02,47.201479,-60.158622,43.4,2.3
2023-06-15 13:16:08,68,0.44,5.89,0.49,408.33,0.02,47.201479,-60.158622,43.5,2.3
2023-06-15 13:16:10,70,0.46,6.06,0.51,425.00,0.02,47.201479,-60.158622,43.7,2.3
2023-06-15 13:16:12,72,0.48,6.06,0.49,378.09,0.02,47.201480,-60.158623,43.8,2.3
2023-06-15 13:16:14,74,0.49,6.24,0.50,399.68,0.02,47.201480,-60.158623,44.0,2.3
2023-06-15 13:16:16,76,0.51,6.40,0.50,443.26,0.02,47.201480,-60.158622,44.0,2.3
2023-06-15 13:16:18,78,0.53,6.02,0.50,438.60,0.02,47.201480,-60.158622,44.0,2.3
2023-06-15 13:16:20,80,0.54,6.50,0.50,412.54,0.02,47.201480,-60.158621,43.7,2.3
2023-06-15 13:16:22,82,0.56,6.06,0.50,454.13,0.02,47.201480,-60.158621,43.7,2.3
2023-06-15 13:16:24,84,0.58,6.24,0.50,434.03,0.02,47.201479,-60.158621,43.7,2.3
2023-06-15 13:16:26,86,0.59,6.14,0.50,377.93,0.02,47.201478,-60.158621,43.7,2.3
2023-06-15 13:16:28,88,0.61,6.14,0.50,383.14,0.02,47.201478,-60.158621,43.6,2.3
2023-06-15 13:16:30,90,0.63,6.39,0.50,397.77,0.02,47.201478,-60.158620,43.4,2.3
2023-06-15 13:16:32,92,0.64,6.28,0.50,424.09,0.02,47.201478,-60.158620,43.2,2.3
2023-06-15 13:16:34,94,0.66,6.55,0.50,438.60,0.02,47.201478,-60.158619,43.0,2.3
2023-06-15 13:16:36,96,0.68,6.40,0.50,427.35,0.02,47.201479,-60.158620,42.8,2.3
2023-06-15 13:16:38,98,0.69,6.34,0.50,389.41,0.02,47.201480,-60.158620,42.7,2.3
2023-06-15 13:16:40,100,0.71,6.55,0.50,409.50,0.02,47.201481,-60.158619,42.5,2.3
2023-06-15 13:16:42,102,0.73,6.41,0.50,403.55,0.02,47.201481,-60.158619,42.3,2.3
2023-06-15 13:16:44,104,0.74,6.48,0.50,419.82,0.02,47.201482,-60.158619,42.2,2.3
2023-06-15 13:16:46,106,0.76,6.67,0.50,473.48,0.02,47.201482,-60.158618,42.2,2.3
2023-06-15 13:16:48,108,0.78,6.58,0.50,417.71,0.02,47.201483,-60.158619,42.0,2.3
2023-06-15 13:16:50,110,0.79,6.56,0.50,417.71,0.02,47.201483,-60.158618,41.8,2.3
2023-06-15 13:16:52,112,0.81,6.59,0.50,409.50,0.02,47.201484,-60.158618,41.7,2.3
2023-06-15 13:16:54,114,0.83,6.86,0.50,427.35,0.02,47.201485,-60.158618,41.5,2.3
2023-06-15 13:16:56,116,0.84,6.72,0.50,439.75,0.02,47.201485,-60.158618,41.4,2.3
