Serial Number,WF1661142
Sample ID,00019
Start Time,2023-06-13 14:10:17 UTC
Duration,0:05:02
Total Volume (l),2.37
Distance (m),12
Peak Pressure (psi),10.5
Avg Flow (l/min),0.5
Avg Rate (mL/m),222.9
Avg Speed (m/s),0.0


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2023-06-13 14:10:17,0,0.00,-0.14,0.00,0.00,0.05,47.201524,-60.158879,43.5,3.5
2023-06-13 14:10:19,2,0.00,-0.02,0.00,0.00,0.05,47.201522,-60.158879,43.5,3.5
2023-06-13 14:10:21,4,0.00,0.34,0.12,40.20,0.05,47.201520,-60.158879,43.3,3.5
2023-06-13 14:10:23,6,0.00,1.21,0.03,9.51,0.05,47.201518,-60.158880,43.1,3.5
2023-06-13 14:10:25,8,0.00,3.21,0.01,3.23,0.04,47.201517,-60.158881,43.1,3.5
2023-06-13 14:10:27,10,0.00,3.80,0.00,0.00,0.05,47.201516,-60.158882,43.2,3.5
2023-06-13 14:10:29,12,0.00,4.16,0.00,0.00,0.05,47.201517,-60.158884,43.6,3.5
2023-06-13 14:10:31,14,0.00,4.60,0.00,0.00,0.05,47.201516,-60.158886,43.7,3.5
2023-06-13 14:10:33,16,0.00,4.88,0.00,0.00,0.04,47.201516,-60.158886,43.8,3.5
2023-06-13 14:10:35,18,0.00,4.91,0.00,0.00,0.04,47.201515,-60.158887,43.8,3.5
2023-06-13 14:10:37,20,0.00,8.40,0.00,0.00,0.04,47.201515,-60.158887,43.8,3.5
2023-06-13 14:10:39,22,0.01,9.94,0.25,101.13,0.04,47.201517,-60.158888,44.1,3.5
2023-06-13 14:10:41,24,0.04,10.50,0.59,228.95,0.05,47.201519,-60.158888,44.4,3.5
2023-06-13 14:10:43,26,0.07,8.82,0.77,272.76,0.05,47.201522,-60.158889,44.8,3.0
2023-06-13 14:10:45,28,0.09,5.37,0.62,222.46,0.05,47.201523,-60.158890,45.0,3.0
2023-06-13 14:10:47,30,0.10,5.06,0.58,195.88,0.05,47.201524,-60.158890,45.2,3.0
