Serial Number,WF1661142
Sample ID,00024
Start Time,2023-06-13 16:33:46 UTC
Duration,0:04:31
Total Volume (l),2.18
Distance (m),6
Peak Pressure (psi),11.1
Avg Flow (l/min),0.5
Avg Rate (mL/m),410.5
Avg Speed (m/s),0.0


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2023-06-13 16:33:46,0,0.00,0.59,0.06,19.12,0.05,47.201899,-60.156471,52.3,3.5
2023-06-13 16:33:48,2,0.03,1.30,0.47,155.12,0.05,47.201897,-60.156472,52.5,3.5
2023-06-13 16:33:50,4,0.03,4.03,0.26,83.82,0.05,47.201898,-60.156470,52.4,3.5
2023-06-13 16:33:52,6,0.03,4.87,0.12,40.08,0.05,47.201896,-60.156470,52.6,3.5
2023-06-13 16:33:54,8,0.03,5.05,0.04,13.10,0.05,47.201896,-60.156470,52.6,3.5
2023-06-13 16:33:57,11,0.03,5.19,0.01,4.50,0.04,47.201895,-60.156468,52.4,3.5
2023-06-13 16:33:59,13,0.03,5.31,0.00,0.00,0.03,47.201895,-60.156466,52.1,3.5
2023-06-13 16:34:01,15,0.03,7.85,0.00,0.00,0.03,47.201896,-60.156463,51.8,3.5
2023-06-13 16:34:03,17,0.04,8.78,0.21,131.58,0.03,47.201897,-60.156459,51.5,3.5
2023-06-13 16:34:05,19,0.07,9.11,0.55,322.77,0.03,47.201899,-60.156454,50.9,3.5
2023-06-13 16:34:07,21,0.09,8.28,0.70,410.80,0.03,47.201903,-60.156451,50.3,3.5
2023-06-13 16:34:09,23,0.12,5.95,0.65,447.66,0.02,47.201907,-60.156449,49.9,3.5
2023-06-13 16:34:11,25,0.13,5.00,0.56,476.19,0.02,47.201908,-60.156448,49.8,3.5
2023-06-13 16:34:13,27,0.15,5.00,0.53,467.37,0.02,47.201911,-60.156447,49.3,3.5
2023-06-13 16:34:15,29,0.17,4.74,0.51,412.62,0.02,47.201913,-60.156447,49.1,3.5
2023-06-13 16:34:17,31,0.18,4.97,0.50,376.22,0.02,47.201914,-60.156446,48.9,3.5
2023-06-13 16:34:19,33,0.20,4.85,0.50,372.02,0.02,47.201915,-60.156446,48.9,3.5
2023-06-13 16:34:21,35,0.22,4.80,0.50,361.53,0.02,47.201915,-60.156446,48.9,3.5
2023-06-13 16:34:23,37,0.23,5.06,0.50,357.65,0.02,47.201916,-60.156451,49.2,3.5
2023-06-13 16:34:25,39,0.25,4.93,0.50,394.94,0.02,47.201916,-60.156457,49.7,3.5
2023-06-13 16:34:27,41,0.27,5.01,0.50,386.70,0.02,47.201917,-60.156460,50.0,3.5
2023-06-13 16:34:29,43,0.28,5.11,0.49,340.28,0.02,47.201917,-60.156463,50.4,3.5
2023-06-13 16:34:31,45,0.30,5.10,0.50,343.64,0.02,47.201917,-60.156465,50.6,3.5
2023-06-13 16:34:33,47,0.32,5.20,0.49,351.25,0.02,47.201916,-60.156467,50.9,3.5
2023-06-13 16:34:35,49,0.33,5.17,0.50,363.11,0.02,47.201916,-60.156470,51.2,3.5
2023-06-13 16:34:37,51,0.35,5.21,0.50,392.16,0.02,47.201914,-60.156471,51.4,3.5
2023-06-13 16:34:39,53,0.37,5.21,0.50,411.52,0.02,47.201913,-60.156472,51.5,3.5
2023-06-13 16:34:41,55,0.38,5.35,0.49,420.96,0.02,47.201909,-60.156470,51.7,3.5
2023-06-13 16:34:43,57,0.40,5.45,0.50,390.32,0.02,47.201906,-60.156467,51.5,3.5
2023-06-13 16:34:45,59,0.42,5.49,0.49,373.76,0.02,47.201903,-60.156465,51.2,3.5
2023-06-13 16:34:47,61,0.43,5.65,0.49,367.87,0.02,47.201901,-60.156462,50.7,3.5
2023-06-13 16:34:49,63,0.44,6.51,0.38,305.22,0.02,47.201896,-60.156457,50.3,3.5
2023-06-13 16:34:51,65,0.46,6.84,0.49,347.52,0.02,47.201892,-60.156453,49.9,3.5
2023-06-13 16:34:53,67,0.48,6.47,0.55,392.58,0.02,47.201890,-60.156451,49.6,3.5
2023-06-13 16:34:55,69,0.50,6.41,0.53,428.80,0.02,47.201888,-60.156448,49.2,3.5
