Serial Number,WF1661142
Sample ID,00030
Start Time,2023-06-14 17:30:09 UTC
Duration,0:05:12
Total Volume (l),2.13
Distance (m),20
Peak Pressure (psi),12.2
Avg Flow (l/min),0.4
Avg Rate (mL/m),164.7
Avg Speed (m/s),0.1


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2023-06-14 17:30:09,0,0.00,-0.25,0.00,0.00,0.33,47.198080,-60.163234,1.8,12.7
2023-06-14 17:30:11,2,0.00,-0.01,0.00,0.00,0.31,47.198092,-60.163238,1.8,5.3
2023-06-14 17:30:13,4,0.01,0.23,0.28,15.51,0.30,47.198093,-60.163244,2.0,5.3
2023-06-14 17:30:15,6,0.03,0.09,0.56,31.96,0.28,47.198096,-60.163244,2.7,5.3
2023-06-14 17:30:17,8,0.04,0.40,0.38,23.27,0.26,47.198098,-60.163245,3.9,5.3
2023-06-14 17:30:19,10,0.05,2.52,0.30,20.40,0.24,47.198102,-60.163244,3.9,5.3
2023-06-14 17:30:21,12,0.06,4.15,0.13,9.44,0.22,47.198104,-60.163243,4.5,10.2
2023-06-14 17:30:23,14,0.06,5.16,0.05,3.97,0.20,47.198095,-60.163249,6.7,10.2
2023-06-14 17:30:25,16,0.06,5.35,0.01,0.91,0.17,47.198085,-60.163260,8.4,10.2
2023-06-14 17:30:27,18,0.06,5.03,0.00,0.00,0.15,47.198085,-60.163263,9.2,10.2
2023-06-14 17:30:29,20,0.06,5.02,0.00,0.00,0.15,47.198085,-60.163266,10.2,10.2
2023-06-14 17:30:31,22,0.06,5.15,0.00,0.00,0.13,47.198086,-60.163267,10.0,10.2
2023-06-14 17:30:33,24,0.06,8.33,0.01,1.29,0.12,47.198065,-60.163286,13.1,10.2
2023-06-14 17:30:35,26,0.06,10.47,0.20,30.94,0.10,47.198045,-60.163303,16.6,10.2
2023-06-14 17:30:37,28,0.09,10.92,0.52,91.13,0.09,47.198040,-60.163306,17.5,10.2
2023-06-14 17:30:39,30,0.11,11.04,0.66,116.65,0.09,47.198040,-60.163308,17.3,10.2
2023-06-14 17:30:41,32,0.14,8.75,0.72,137.30,0.08,47.198037,-60.163306,20.0,7.4
2023-06-14 17:30:43,34,0.15,5.86,0.57,118.60,0.08,47.198035,-60.163306,21.8,7.4
2023-06-14 17:30:45,36,0.17,5.64,0.53,113.47,0.08,47.198033,-60.163308,22.6,7.4
2023-06-14 17:30:47,38,0.19,5.61,0.52,123.54,0.07,47.198032,-60.163311,23.1,7.4
2023-06-14 17:30:49,40,0.20,5.86,0.50,124.29,0.05,47.198035,-60.163314,22.6,7.4
2023-06-14 17:30:51,42,0.22,5.68,0.50,211.24,0.04,47.198044,-60.163316,21.2,7.4
2023-06-14 17:30:53,44,0.24,5.96,0.50,237.76,0.04,47.198050,-60.163319,20.2,7.4
2023-06-14 17:30:55,46,0.25,5.44,0.50,186.22,0.05,47.198055,-60.163322,19.1,7.4
2023-06-14 17:30:57,48,0.27,6.02,0.50,157.08,0.06,47.198060,-60.163323,18.4,7.4
2023-06-14 17:30:59,50,0.29,5.66,0.50,137.06,0.07,47.198064,-60.163323,17.6,7.4
2023-06-14 17:31:01,52,0.30,5.75,0.50,119.22,0.08,47.198069,-60.163322,16.7,9.1
2023-06-14 17:31:03,54,0.32,6.09,0.50,105.49,0.08,47.198072,-60.163321,16.3,9.1
2023-06-14 17:31:05,56,0.34,6.19,0.50,98.97,0.09,47.198075,-60.163321,15.7,9.1
2023-06-14 17:31:07,58,0.35,5.89,0.50,90.63,0.10,47.198077,-60.163320,15.2,9.1
2023-06-14 17:31:09,60,0.37,5.92,0.50,85.34,0.10,47.198078,-60.163319,14.9,9.1
2023-06-14 17:31:11,62,0.39,6.03,0.50,73.84,0.12,47.198078,-60.163315,15.3,7.4
2023-06-14 17:31:13,64,0.40,6.45,0.50,71.99,0.11,47.198080,-60.163312,14.9,7.4
2023-06-14 17:31:15,66,0.42,6.53,0.50,71.81,0.11,47.198081,-60.163308,15.6,7.4
2023-06-14 17:31:17,68,0.44,6.46,0.50,73.42,0.11,47.198079,-60.163305,15.8,7.4
2023-06-14 17:31:19,70,0.45,6.59,0.50,73.04,0.12,47.198076,-60.163304,16.0,7.4
2023-06-14 17:31:21,72,0.47,6.74,0.50,73.78,0.11,47.198075,-60.163301,16.1,7.4
2023-06-14 17:31:23,74,0.49,6.78,0.50,79.06,0.10,47.198073,-60.163301,15.9,7.4
2023-06-14 17:31:25,76,0.50,6.84,0.50,79.97,0.10,47.198072,-60.163299,16.0,7.4
2023-06-14 17:31:27,78,0.52,6.86,0.50,87.77,0.09,47.198072,-60.163298,15.9,7.4
2023-06-14 17:31:29,80,0.54,6.64,0.50,89.56,0.09,47.198071,-60.163297,15.4,7.4
2023-06-14 17:31:31,82,0.55,6.75,0.50,103.20,0.08,47.198072,-60.163296,15.1,9.1
2023-06-14 17:31:33,84,0.57,6.98,0.50,109.58,0.08,47.198069,-60.163297,15.5,9.1
2023-06-14 17:31:35,86,0.59,7.10,0.50,125.22,0.06,47.198064,-60.163298,16.0,9.1
2023-06-14 17:31:37,88,0.60,7.00,0.50,144.30,0.06,47.198064,-60.163297,15.9,9.1
2023-06-14 17:31:39,90,0.62,7.21,0.50,150.69,0.05,47.198065,-60.163297,15.5,9.1
2023-06-14 17:31:41,92,0.64,7.18,0.50,169.89,0.05,47.198068,-60.163297,14.8,5.3
2023-06-14 17:31:43,94,0.65,7.28,0.50,182.15,0.05,47.198068,-60.163297,15.2,5.3
2023-06-14 17:31:45,96,0.67,7.23,0.50,190.48,0.05,47.198069,-60.163297,15.1,5.3
