Serial Number,WD46410AB
Sample ID,00001
Start Time,2021-02-24 00:29:53 UTC
Duration,0:02:02
Total Volume (l),1.01
Distance (m),132
Peak Pressure (psi),3.1
Avg Flow (l/min),0.5
Avg Rate (mL/m),14.1
Avg Speed (m/s),1.1


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2021-02-24 00:29:53,0,0.00,0.51,0.19,0.81,3.84,45.741162,-122.616885,98.1,9.8
2021-02-24 00:29:55,2,0.00,1.22,0.07,0.33,3.44,45.741128,-122.616858,99.0,9.7
2021-02-24 00:29:57,4,0.02,3.10,0.45,2.44,2.97,45.741153,-122.616857,100.4,9.7
2021-02-24 00:29:59,6,0.04,2.28,0.42,2.55,2.65,45.741228,-122.616850,101.4,9.7
2021-02-24 00:30:01,8,0.05,0.30,0.55,3.83,2.31,45.741212,-122.616833,101.7,9.7
2021-02-24 00:30:03,10,0.07,1.30,0.48,3.86,2.01,45.741231,-122.616858,102.7,9.7
2021-02-24 00:30:05,12,0.08,1.81,0.47,4.33,1.72,45.741296,-122.616889,103.7,9.7
2021-02-24 00:30:07,14,0.10,1.18,0.51,5.80,1.39,45.741288,-122.616892,103.4,9.7
2021-02-24 00:30:09,16,0.12,1.30,0.51,7.88,1.01,45.741370,-122.616925,103.2,9.7
2021-02-24 00:30:11,18,0.14,1.44,0.49,10.21,0.76,45.741438,-122.616963,103.5,9.7
2021-02-24 00:30:13,20,0.15,1.37,0.50,12.65,0.62,45.741424,-122.616975,103.4,9.7
2021-02-24 00:30:15,22,0.17,1.06,0.51,17.03,0.47,45.741434,-122.616983,103.6,21.7
2021-02-24 00:30:17,24,0.19,1.39,0.50,19.24,0.40,45.741444,-122.616980,103.5,21.7
2021-02-24 00:30:19,26,0.20,1.49,0.50,20.61,0.40,45.741466,-122.617005,103.4,21.6
2021-02-24 00:30:21,28,0.22,1.32,0.50,19.76,0.41,45.741517,-122.617045,103.9,21.6
2021-02-24 00:30:23,30,0.24,1.42,0.50,20.17,0.43,45.741563,-122.617069,104.1,9.7
2021-02-24 00:30:25,32,0.25,1.41,0.50,15.88,0.59,45.741639,-122.617099,102.8,9.7
2021-02-24 00:30:27,34,0.27,1.27,0.50,10.48,0.89,45.741682,-122.617092,99.7,9.7
2021-02-24 00:30:29,36,0.29,1.49,0.50,7.15,1.35,45.741757,-122.617142,99.4,21.4
2021-02-24 00:30:31,38,0.30,1.53,0.50,6.17,1.51,45.741805,-122.617170,99.1,21.4
2021-02-24 00:30:33,40,0.32,1.26,0.50,4.96,1.84,45.741889,-122.617226,98.8,21.4
2021-02-24 00:30:35,42,0.34,1.60,0.50,4.16,2.12,45.741926,-122.617246,97.9,21.3
2021-02-24 00:30:37,44,0.35,1.29,0.50,3.80,2.24,45.741978,-122.617280,97.5,21.3
2021-02-24 00:30:39,46,0.37,1.38,0.50,3.73,2.25,45.741994,-122.617287,96.6,21.3
2021-02-24 00:30:41,48,0.39,1.41,0.50,3.73,2.22,45.741999,-122.617301,95.8,21.2
2021-02-24 00:30:43,50,0.40,1.40,0.50,3.79,2.20,45.742041,-122.617331,95.1,21.2
2021-02-24 00:30:45,52,0.42,1.44,0.50,3.88,2.10,45.742023,-122.617323,94.0,21.2
2021-02-24 00:30:47,54,0.44,1.24,0.50,4.05,1.97,45.742004,-122.617335,93.1,21.1
2021-02-24 00:30:49,56,0.45,1.60,0.50,4.44,1.78,45.742019,-122.617365,92.6,21.1
2021-02-24 00:30:51,58,0.47,1.21,0.50,4.95,1.61,45.742073,-122.617402,91.9,9.6
2021-02-24 00:30:53,60,0.49,1.30,0.50,5.42,1.43,45.742072,-122.617394,88.9,9.6
2021-02-24 00:30:55,62,0.50,1.67,0.50,6.20,1.23,45.742046,-122.617382,88.3,9.6
2021-02-24 00:30:57,64,0.52,1.23,0.50,7.58,1.02,45.742012,-122.617365,84.4,9.6
2021-02-24 00:30:59,66,0.54,1.28,0.50,8.68,0.94,45.742012,-122.617372,81.9,9.6
2021-02-24 00:31:01,68,0.55,1.57,0.50,9.40,0.78,45.741988,-122.617362,80.5,9.6
2021-02-24 00:31:03,70,0.57,1.21,0.50,12.46,0.60,45.741979,-122.617363,81.1,9.6
2021-02-24 00:31:05,72,0.59,1.15,0.50,14.67,0.59,45.741990,-122.617380,80.7,9.6
2021-02-24 00:31:07,74,0.60,1.41,0.50,13.73,0.60,45.741986,-122.617376,79.9,9.6
2021-02-24 00:31:09,76,0.62,1.51,0.50,14.02,0.53,45.741974,-122.617369,78.2,9.6
2021-02-24 00:31:11,78,0.64,1.35,0.50,16.58,0.50,45.741948,-122.617359,75.1,9.5
2021-02-24 00:31:13,80,0.65,1.44,0.50,16.48,0.48,45.741931,-122.617351,74.6,9.5
2021-02-24 00:31:15,82,0.67,1.44,0.50,18.94,0.42,45.741952,-122.617365,73.7,9.5
2021-02-24 00:31:17,84,0.69,1.51,0.50,21.74,0.36,45.741920,-122.617366,72.8,9.5
2021-02-24 00:31:19,86,0.70,1.62,0.50,26.28,0.31,45.741898,-122.617353,72.0,9.5
2021-02-24 00:31:21,88,0.72,1.10,0.50,28.42,0.29,45.741899,-122.617350,69.2,9.5
2021-02-24 00:31:23,90,0.74,1.23,0.50,28.25,0.34,45.741898,-122.617351,66.4,9.5
2021-02-24 00:31:25,92,0.75,1.50,0.50,25.69,0.28,45.741882,-122.617346,65.6,9.5
2021-02-24 00:31:27,94,0.77,1.64,0.50,32.09,0.24,45.741870,-122.617332,62.0,9.5
2021-02-24 00:31:29,96,0.79,1.27,0.50,35.40,0.25,45.741845,-122.617318,60.8,9.5
2021-02-24 00:31:31,98,0.80,1.52,0.50,29.74,0.31,45.741835,-122.617310,60.1,9.5
2021-02-24 00:31:33,100,0.82,1.46,0.50,26.95,0.29,45.741840,-122.617310,59.5,9.5
2021-02-24 00:31:35,102,0.84,1.21,0.50,28.02,0.31,45.741858,-122.617323,59.4,9.5
2021-02-24 00:31:37,104,0.86,1.40,0.50,23.82,0.35,45.741948,-122.617353,74.7,9.5
2021-02-24 00:31:39,106,0.87,1.37,0.50,23.73,0.32,45.741946,-122.617356,74.6,9.5
2021-02-24 00:31:41,108,0.89,1.08,0.50,30.06,0.27,45.741920,-122.617363,73.8,9.5
2021-02-24 00:31:43,110,0.91,1.47,0.50,30.83,0.28,45.741897,-122.617362,73.7,9.5
2021-02-24 00:31:45,112,0.92,1.17,0.50,28.06,0.31,45.741856,-122.617358,74.0,9.5
2021-02-24 00:31:47,114,0.94,1.41,0.50,27.05,0.38,45.741831,-122.617342,74.0,9.4
2021-02-24 00:31:49,116,0.96,1.55,0.50,18.97,0.55,45.741795,-122.617334,74.0,9.4
2021-02-24 00:31:51,118,0.97,1.20,0.50,13.00,0.69,45.741806,-122.617328,73.0,9.4
2021-02-24 00:31:53,120,0.99,1.37,0.50,11.09,0.77,45.741817,-122.617337,72.8,9.4
2021-02-24 00:31:55,122,1.01,1.46,0.50,11.06,0.73,45.741841,-122.617350,72.8,9.4
