Serial Number,WD46410AB
Sample ID,00090
Start Time,2022-06-02 13:04:19 UTC
Duration,0:00:38
Total Volume (l),0.19
Distance (m),1
Peak Pressure (psi),4.9
Avg Flow (l/min),0.3
Avg Rate (mL/m),159.8
Avg Speed (m/s),0.0


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2022-06-02 13:04:19,0,0.00,0.24,0.00,0.00,0.03,44.740124,-62.759931,5.3,3.2
2022-06-02 13:04:21,2,0.01,4.88,0.31,185.85,0.03,44.740125,-62.759934,5.2,3.2
2022-06-02 13:04:23,4,0.06,0.02,1.25,686.44,0.03,44.740126,-62.759935,5.1,3.2
2022-06-02 13:04:25,6,0.10,0.16,1.13,606.55,0.03,44.740128,-62.759934,5.2,3.2
2022-06-02 13:04:27,8,0.13,0.06,0.92,495.42,0.03,44.740131,-62.759932,5.3,3.2
2022-06-02 13:04:29,10,0.15,0.05,0.65,385.53,0.03,44.740133,-62.759932,5.5,3.2
2022-06-02 13:04:31,12,0.16,0.15,0.37,219.85,0.03,44.740134,-62.759932,5.5,3.2
2022-06-02 13:04:33,14,0.16,0.21,0.22,127.09,0.03,44.740135,-62.759933,5.6,3.2
2022-06-02 13:04:35,16,0.17,0.16,0.16,95.75,0.03,44.740136,-62.759934,5.4,3.2
2022-06-02 13:04:37,18,0.17,0.14,0.14,86.58,0.03,44.740136,-62.759935,5.4,3.2
2022-06-02 13:04:39,20,0.17,0.15,0.10,61.16,0.03,44.740136,-62.759936,5.2,3.2
2022-06-02 13:04:41,22,0.18,0.16,0.07,44.70,0.03,44.740136,-62.759937,5.2,3.2
2022-06-02 13:04:43,24,0.18,0.13,0.05,34.29,0.03,44.740136,-62.759937,5.1,3.2
2022-06-02 13:04:45,26,0.18,0.15,0.05,29.60,0.03,44.740135,-62.759935,5.0,3.2
2022-06-02 13:04:47,28,0.18,0.16,0.05,29.82,0.03,44.740134,-62.759934,4.7,3.2
2022-06-02 13:04:49,30,0.18,0.12,0.04,23.07,0.03,44.740134,-62.759933,4.2,3.2
2022-06-02 13:04:51,32,0.18,0.13,0.04,23.81,0.03,44.740134,-62.759932,3.8,3.2
2022-06-02 13:04:53,34,0.18,0.12,0.04,24.20,0.03,44.740133,-62.759932,3.8,3.2
2022-06-02 13:04:55,36,0.19,0.12,0.03,17.99,0.03,44.740133,-62.759930,3.7,3.2
2022-06-02 13:04:57,38,0.19,0.14,0.03,18.66,0.03,44.740132,-62.759929,3.8,3.2
