Serial Number,WD46410AB
Sample ID,00089
Start Time,2022-06-02 13:01:05 UTC
Duration,0:02:26
Total Volume (l),2.0
Distance (m),4
Peak Pressure (psi),11.5
Avg Flow (l/min),0.8
Avg Rate (mL/m),520.6
Avg Speed (m/s),0.0


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2022-06-02 13:01:05,0,0.00,-0.47,0.00,0.00,0.03,44.740129,-62.759936,7.0,3.6
2022-06-02 13:01:07,2,0.00,-0.47,0.00,0.00,0.03,44.740127,-62.759936,6.9,3.1
2022-06-02 13:01:09,4,0.00,-0.24,0.14,85.31,0.03,44.740126,-62.759937,6.8,3.1
2022-06-02 13:01:11,6,0.03,-0.07,0.55,351.89,0.03,44.740125,-62.759938,6.8,3.1
2022-06-02 13:01:13,8,0.05,0.05,0.75,422.30,0.03,44.740125,-62.759937,6.8,3.1
2022-06-02 13:01:15,10,0.07,2.14,0.54,316.90,0.03,44.740124,-62.759936,6.7,3.1
2022-06-02 13:01:17,12,0.07,3.27,0.24,172.79,0.02,44.740123,-62.759935,6.4,3.1
2022-06-02 13:01:19,14,0.08,3.63,0.09,61.22,0.03,44.740123,-62.759934,6.2,3.1
2022-06-02 13:01:21,16,0.08,3.89,0.04,25.16,0.03,44.740123,-62.759934,6.0,3.1
2022-06-02 13:01:23,18,0.08,4.28,0.01,6.93,0.02,44.740121,-62.759934,5.8,3.1
2022-06-02 13:01:25,20,0.08,4.72,0.00,0.00,0.02,44.740120,-62.759933,5.6,3.1
2022-06-02 13:01:27,22,0.08,4.94,0.00,0.00,0.03,44.740120,-62.759933,5.5,3.1
2022-06-02 13:01:29,24,0.08,8.96,0.02,12.48,0.03,44.740120,-62.759933,5.3,3.1
2022-06-02 13:01:31,26,0.10,9.81,0.51,294.12,0.03,44.740121,-62.759934,5.0,3.1
2022-06-02 13:01:33,28,0.13,9.93,0.81,478.72,0.03,44.740122,-62.759935,4.8,3.1
2022-06-02 13:01:35,30,0.17,10.11,0.98,567.13,0.03,44.740122,-62.759936,4.7,3.1
2022-06-02 13:01:37,32,0.20,9.49,0.99,527.16,0.03,44.740123,-62.759936,4.6,3.1
2022-06-02 13:01:39,34,0.23,9.86,0.97,537.99,0.03,44.740124,-62.759938,4.6,3.1
2022-06-02 13:01:41,36,0.27,9.70,0.98,540.84,0.03,44.740124,-62.759940,4.6,3.1
2022-06-02 13:01:43,38,0.30,7.74,0.97,473.40,0.03,44.740125,-62.759940,4.2,3.1
2022-06-02 13:01:45,40,0.33,8.62,0.90,440.53,0.03,44.740126,-62.759941,4.0,3.1
2022-06-02 13:01:47,42,0.36,9.95,0.96,476.19,0.03,44.740126,-62.759941,3.8,3.1
2022-06-02 13:01:49,44,0.39,7.92,0.84,440.94,0.03,44.740125,-62.759941,3.5,3.1
2022-06-02 13:01:51,46,0.42,9.32,0.91,484.56,0.03,44.740124,-62.759941,3.4,3.1
2022-06-02 13:01:53,48,0.45,10.06,1.00,539.37,0.03,44.740124,-62.759941,3.2,3.1
2022-06-02 13:01:55,50,0.48,8.60,0.89,483.17,0.03,44.740124,-62.759940,3.0,3.1
2022-06-02 13:01:57,52,0.51,9.79,0.94,507.01,0.03,44.740123,-62.759939,2.7,3.1
2022-06-02 13:01:59,54,0.55,9.76,0.97,501.29,0.03,44.740121,-62.759938,2.4,3.1
2022-06-02 13:02:01,56,0.58,9.89,0.96,489.30,0.03,44.740121,-62.759937,2.3,3.1
2022-06-02 13:02:03,58,0.61,10.17,0.93,536.33,0.03,44.740120,-62.759936,2.3,3.1
2022-06-02 13:02:05,60,0.64,7.77,1.00,600.60,0.03,44.740118,-62.759935,2.4,3.1
2022-06-02 13:02:07,62,0.67,9.14,0.88,519.17,0.03,44.740117,-62.759934,2.3,3.1
2022-06-02 13:02:09,64,0.70,9.43,0.94,593.43,0.03,44.740116,-62.759934,2.1,3.1
2022-06-02 13:02:11,66,0.74,9.90,0.98,629.42,0.03,44.740114,-62.759934,2.1,3.1
