Serial Number,WD46410AB
Sample ID,00003
Start Time,2021-02-24 00:33:55 UTC
Duration,0:01:08
Total Volume (l),1.66
Distance (m),34
Peak Pressure (psi),9.3
Avg Flow (l/min),1.3
Avg Rate (mL/m),50.1
Avg Speed (m/s),0.5


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2021-02-24 00:33:55,0,0.00,0.32,0.00,0.00,0.70,45.741806,-122.617454,72.7,9.1
2021-02-24 00:33:57,2,0.00,0.49,0.00,0.00,0.63,45.741808,-122.617458,73.4,38.6
2021-02-24 00:33:59,4,0.01,2.39,0.27,7.50,0.59,45.741822,-122.617459,72.0,9.1
2021-02-24 00:34:01,6,0.04,4.68,0.73,21.32,0.55,45.741815,-122.617450,71.9,9.1
2021-02-24 00:34:03,8,0.09,7.67,1.17,35.73,0.53,45.741825,-122.617453,71.7,9.1
2021-02-24 00:34:05,10,0.14,4.56,1.64,54.49,0.48,45.741803,-122.617440,72.0,9.1
2021-02-24 00:34:07,12,0.18,8.66,1.29,41.12,0.54,45.741801,-122.617438,71.4,9.1
2021-02-24 00:34:09,14,0.23,7.85,1.30,39.40,0.56,45.741787,-122.617441,71.5,9.1
2021-02-24 00:34:11,16,0.29,7.72,1.29,39.55,0.54,45.741796,-122.617441,70.8,9.1
2021-02-24 00:34:13,18,0.34,7.69,1.30,39.41,0.54,45.741774,-122.617439,70.3,9.1
2021-02-24 00:34:15,20,0.40,7.60,1.29,40.23,0.52,45.741784,-122.617439,69.5,9.1
2021-02-24 00:34:17,22,0.45,2.41,1.62,52.01,0.52,45.741781,-122.617441,69.5,9.1
2021-02-24 00:34:19,24,0.50,0.21,1.64,59.32,0.40,45.741831,-122.617448,69.7,9.1
2021-02-24 00:34:21,26,0.56,9.31,1.61,73.02,0.33,45.741852,-122.617448,69.7,9.1
2021-02-24 00:34:23,28,0.60,8.92,1.28,77.80,0.33,45.741881,-122.617451,69.8,9.1
2021-02-24 00:34:25,30,0.65,8.22,1.30,56.20,0.38,45.741850,-122.617448,69.9,9.1
2021-02-24 00:34:27,32,0.71,8.25,1.30,66.24,0.28,45.741855,-122.617446,68.7,9.1
2021-02-24 00:34:29,34,0.77,8.42,1.28,74.31,0.30,45.741854,-122.617444,68.0,9.1
2021-02-24 00:34:31,36,0.82,8.23,1.29,69.76,0.31,45.741859,-122.617445,68.1,9.1
2021-02-24 00:34:33,38,0.87,2.50,1.60,82.82,0.26,45.741854,-122.617449,66.9,9.1
2021-02-24 00:34:35,40,0.93,0.27,1.63,125.48,0.22,45.741847,-122.617448,67.0,9.1
2021-02-24 00:34:37,42,0.98,8.19,1.63,103.93,0.30,45.741833,-122.617446,66.9,9.0
2021-02-24 00:34:39,44,1.02,9.06,1.27,59.54,0.39,45.741843,-122.617450,68.2,9.0
2021-02-24 00:34:41,46,1.08,8.49,1.29,49.79,0.46,45.741847,-122.617449,67.5,9.0
2021-02-24 00:34:43,48,1.13,8.10,1.29,44.38,0.49,45.741839,-122.617447,66.8,9.0
2021-02-24 00:34:45,50,1.18,7.74,1.29,44.76,0.49,45.741841,-122.617449,68.2,9.0
2021-02-24 00:34:47,52,1.24,7.85,1.29,45.21,0.44,45.741857,-122.617449,67.9,9.0
2021-02-24 00:34:49,54,1.29,8.21,1.29,49.77,0.41,45.741857,-122.617449,67.7,9.0
2021-02-24 00:34:51,56,1.35,2.54,1.27,56.23,0.37,45.741865,-122.617452,68.9,9.0
2021-02-24 00:34:53,58,1.40,0.46,1.64,70.54,0.47,45.741825,-122.617453,68.8,9.0
2021-02-24 00:34:55,60,1.45,7.17,1.63,49.00,0.62,45.741815,-122.617446,68.9,9.0
2021-02-24 00:34:57,62,1.51,9.12,1.60,40.94,0.71,45.741825,-122.617446,69.3,9.0
2021-02-24 00:34:59,64,1.55,8.83,1.27,30.81,0.71,45.741842,-122.617446,69.5,9.0
2021-02-24 00:35:01,66,1.61,8.74,1.27,27.28,0.85,45.741810,-122.617445,69.2,9.0
2021-02-24 00:35:03,68,1.66,8.55,1.28,24.08,0.86,45.741817,-122.617446,70.9,9.0
