Serial Number,WD46410AB
Sample ID,00117
Start Time,2022-10-24 17:44:47 UTC
Duration,0:05:38
Total Volume (l),1.94
Distance (m),34
Peak Pressure (psi),10.3
Avg Flow (l/min),0.3
Avg Rate (mL/m),82.9
Avg Speed (m/s),0.1


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2022-10-24 17:44:47,0,0.00,-0.14,0.31,999.00,0.00,0.000000,0.000000,0.0,24.0
2022-10-24 17:44:49,2,0.00,-0.06,0.11,999.00,0.00,0.000000,0.000000,0.0,24.0
2022-10-24 17:44:51,4,0.00,0.02,0.03,14.93,0.03,47.201390,-60.144772,69.2,24.0
2022-10-24 17:44:53,6,0.00,0.21,0.01,2.33,0.07,47.201390,-60.144773,72.9,24.0
2022-10-24 17:44:55,8,0.00,2.25,0.00,0.00,0.07,47.201393,-60.144775,77.2,24.0
2022-10-24 17:44:57,10,0.00,3.15,0.00,0.00,0.07,47.201396,-60.144777,82.0,24.0
2022-10-24 17:44:59,12,0.00,3.66,0.00,0.00,0.09,47.201390,-60.144774,79.0,24.0
2022-10-24 17:45:01,14,0.00,4.05,0.00,0.00,0.09,47.201377,-60.144769,71.7,24.0
2022-10-24 17:45:03,16,0.00,4.44,0.00,0.00,0.09,47.201333,-60.144748,44.3,24.0
2022-10-24 17:45:05,18,0.00,4.80,0.00,0.00,0.08,47.201329,-60.144745,40.4,24.0
2022-10-24 17:45:07,20,0.00,4.95,0.00,0.00,0.07,47.201326,-60.144743,38.6,24.0
2022-10-24 17:45:09,22,0.00,7.62,0.00,0.00,0.11,47.201326,-60.144742,37.8,6.2
2022-10-24 17:45:11,24,0.00,9.43,0.03,4.00,0.12,47.201328,-60.144742,37.3,6.2
2022-10-24 17:45:13,26,0.02,9.72,0.39,52.85,0.12,47.201330,-60.144740,36.1,6.2
2022-10-24 17:45:15,28,0.05,9.78,0.66,88.53,0.12,47.201329,-60.144739,34.9,6.2
2022-10-24 17:45:17,30,0.08,9.98,0.77,98.19,0.13,47.201329,-60.144738,34.0,6.2
2022-10-24 17:45:19,32,0.10,10.31,0.85,117.32,0.12,47.201330,-60.144738,33.3,5.2
2022-10-24 17:45:21,34,0.13,10.11,0.84,120.27,0.12,47.201331,-60.144738,32.8,5.2
2022-10-24 17:45:23,36,0.16,10.08,0.82,125.21,0.11,47.201332,-60.144739,32.1,5.2
2022-10-24 17:45:25,38,0.19,10.29,0.82,111.47,0.12,47.201333,-60.144739,31.6,5.2
2022-10-24 17:45:27,40,0.21,9.91,0.79,100.62,0.13,47.201337,-60.144741,31.0,5.2
2022-10-24 17:45:29,42,0.24,9.97,0.77,129.43,0.10,47.201342,-60.144741,30.3,5.2
2022-10-24 17:45:31,44,0.26,10.01,0.76,143.78,0.09,47.201348,-60.144742,29.3,5.2
2022-10-24 17:45:33,46,0.29,10.04,0.75,144.76,0.09,47.201354,-60.144744,28.9,5.2
2022-10-24 17:45:35,48,0.31,10.05,0.73,143.98,0.08,47.201360,-60.144746,28.9,5.2
2022-10-24 17:45:37,50,0.34,9.94,0.72,156.66,0.08,47.201367,-60.144747,29.0,5.2
2022-10-24 17:45:39,52,0.36,10.03,0.71,160.34,0.07,47.201373,-60.144746,29.1,5.2
