Serial Number,WD46410AB
Sample ID,00011
Start Time,2021-09-17 14:18:52 UTC
Duration,3 days, 23:40:31
Total Volume (l),3.24
Distance (m),37
Peak Pressure (psi),10.3
Avg Flow (l/min),0.8
Avg Rate (mL/m),166.6
Avg Speed (m/s),0.1


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2021-09-17 14:18:52,0,0.00,0.07,0.11,28.31,0.07,44.677033,-63.555588,43.3,2.7
2021-09-17 14:18:54,2,0.00,0.20,0.04,9.18,0.08,44.677034,-63.555589,42.9,2.7
2021-09-17 14:18:56,4,0.01,0.66,0.02,4.16,0.08,44.677035,-63.555589,42.7,2.7
2021-09-17 14:18:58,6,0.01,1.90,0.03,5.95,0.08,44.677035,-63.555589,42.5,2.7
2021-09-17 14:19:00,8,0.01,3.32,0.03,5.81,0.09,44.677029,-63.555588,41.9,2.7
2021-09-17 14:19:02,10,0.01,3.90,0.02,3.25,0.14,44.677028,-63.555586,41.0,2.7
2021-09-17 14:19:04,12,0.02,5.08,0.29,34.34,0.14,44.677027,-63.555587,40.5,2.7
2021-09-17 14:19:06,14,0.06,6.05,0.89,105.54,0.14,44.677022,-63.555586,40.0,2.7
2021-09-17 14:19:08,16,0.10,4.46,1.12,128.87,0.15,44.677016,-63.555585,39.9,3.0
2021-09-17 14:19:10,18,0.14,2.87,1.13,125.56,0.15,44.677016,-63.555588,40.0,3.0
2021-09-17 14:19:12,20,0.17,3.37,1.03,112.79,0.15,44.677013,-63.555586,39.9,3.0
2021-09-17 14:19:14,22,0.20,3.75,1.04,110.05,0.16,44.677013,-63.555588,39.7,3.0
2021-09-17 14:19:16,24,0.24,3.61,1.01,105.74,0.16,44.677014,-63.555592,39.5,3.0
2021-09-17 14:19:18,26,0.27,3.06,1.00,103.78,0.16,44.677013,-63.555596,39.2,2.7
2021-09-17 14:19:20,28,0.31,2.84,1.01,101.74,0.16,44.677009,-63.555597,38.8,2.7
2021-09-17 14:19:22,30,0.34,3.61,0.99,88.12,0.17,44.677015,-63.555610,38.2,2.7
2021-09-17 14:19:24,32,0.37,2.76,1.01,98.50,0.17,44.677015,-63.555616,37.9,2.7
2021-09-17 14:19:26,34,0.41,3.56,1.00,99.50,0.17,44.677015,-63.555619,37.6,2.7
2021-09-17 14:19:28,36,0.44,3.35,1.00,98.65,0.17,44.677015,-63.555621,37.5,2.7
2021-09-17 14:19:30,38,0.47,3.06,1.00,108.75,0.15,44.677016,-63.555622,37.2,2.7
2021-09-17 14:19:32,40,0.51,2.83,1.00,115.02,0.14,44.677016,-63.555621,37.0,2.7
2021-09-17 14:19:34,42,0.54,3.07,1.00,119.56,0.14,44.677018,-63.555619,37.3,2.7
2021-09-17 14:19:36,44,0.57,3.04,1.00,127.03,0.13,44.677019,-63.555617,37.3,2.7
2021-09-17 14:19:38,46,0.61,3.48,1.00,130.31,0.13,44.677021,-63.555615,37.3,2.8
2021-09-17 14:19:40,48,0.64,3.46,1.01,142.35,0.12,44.677022,-63.555614,37.2,2.8
2021-09-17 14:19:42,50,0.67,2.99,1.00,200.20,0.06,44.677023,-63.555611,37.3,2.8
2021-09-17 14:19:44,52,0.71,3.10,1.01,299.53,0.06,44.677022,-63.555610,37.5,2.8
2021-09-17 14:19:46,54,0.74,3.27,0.99,258.22,0.06,44.677020,-63.555608,37.9,2.8
2021-09-17 14:19:48,56,0.77,3.18,1.00,291.12,0.06,44.677018,-63.555605,38.2,2.7
2021-09-17 14:19:50,58,0.81,3.61,1.00,286.86,0.06,44.677016,-63.555602,38.6,2.7
2021-09-17 14:19:52,60,0.84,3.62,1.00,259.20,0.07,44.677014,-63.555600,39.2,2.7
2021-09-17 14:19:54,62,0.87,3.05,1.00,274.35,0.06,44.677012,-63.555599,39.7,2.7
2021-09-17 14:19:56,64,0.91,3.64,1.00,253.68,0.07,44.677010,-63.555599,40.3,2.7
2021-09-17 14:19:58,66,0.94,3.67,1.00,258.40,0.06,44.677009,-63.555599,40.5,2.7
2021-09-17 14:20:00,68,0.97,3.72,1.00,264.34,0.06,44.677009,-63.555598,40.9,2.7
2021-09-17 14:20:02,70,1.01,3.71,1.00,287.11,0.06,44.677008,-63.555599,41.2,2.7
2021-09-17 14:20:04,72,1.04,3.61,1.00,280.35,0.06,44.677004,-63.555601,41.1,2.7
2021-09-17 14:20:06,74,1.07,3.27,1.00,280.58,0.06,44.677004,-63.555603,41.3,2.7
2021-09-17 14:20:08,76,1.11,3.60,1.00,289.60,0.06,44.677004,-63.555606,41.2,3.0
2021-09-17 14:20:10,78,1.14,3.32,1.00,262.67,0.06,44.677002,-63.555606,40.9,3.0
2021-09-17 14:20:12,80,1.18,3.18,1.00,280.35,0.06,44.677003,-63.555607,41.0,3.0
2021-09-17 14:20:14,82,1.21,3.64,1.00,298.69,0.06,44.677004,-63.555610,41.1,3.0
2021-09-17 14:20:16,84,1.24,3.68,1.00,293.94,0.06,44.677004,-63.555612,41.3,3.0
2021-09-17 14:20:18,86,1.28,3.70,1.00,273.22,0.06,44.677007,-63.555613,41.4,2.7
2021-09-17 14:20:20,88,1.31,3.73,1.00,265.82,0.07,44.677008,-63.555614,41.2,2.7
2021-09-17 14:20:22,90,1.34,3.24,1.00,243.66,0.07,44.677009,-63.555616,41.1,2.7
2021-09-17 14:20:24,92,1.38,3.41,1.00,240.85,0.07,44.677007,-63.555616,40.8,2.7
2021-09-17 14:20:26,94,1.41,3.51,1.00,256.02,0.07,44.677008,-63.555616,40.8,2.7
2021-09-17 14:20:28,96,1.44,3.28,1.00,249.69,0.06,44.677008,-63.555617,40.8,2.7
2021-09-17 14:20:30,98,1.48,3.83,1.00,273.45,0.06,44.677005,-63.555619,40.9,2.7
2021-09-17 14:20:32,100,1.51,3.41,1.00,255.43,0.06,44.677005,-63.555617,41.1,2.7
2021-09-17 14:20:34,102,1.54,3.58,1.00,229.25,0.07,44.677006,-63.555617,41.4,2.7
2021-09-17 14:20:36,104,1.58,3.76,1.00,250.63,0.07,44.677007,-63.555616,41.7,2.7
2021-09-17 14:20:38,106,1.61,3.36,1.00,248.94,0.07,44.677006,-63.555615,42.0,2.7
2021-09-17 14:20:40,108,1.64,3.29,1.00,238.95,0.07,44.677006,-63.555613,42.3,2.7
2021-09-17 14:20:42,110,1.68,3.53,1.00,239.98,0.07,44.677006,-63.555612,42.2,2.7
2021-09-17 14:20:44,112,1.71,3.23,1.01,244.32,0.07,44.677005,-63.555611,42.2,2.7
2021-09-17 14:20:46,114,1.74,3.80,1.00,222.97,0.08,44.677005,-63.555611,42.0,2.7
2021-09-17 14:20:48,116,1.78,3.52,1.00,217.30,0.08,44.677006,-63.555610,41.9,2.7
2021-09-17 14:20:50,118,1.81,2.45,1.01,208.33,0.08,44.677005,-63.555610,41.9,2.7
2021-09-17 14:20:52,120,1.84,0.49,1.01,216.51,0.08,44.677006,-63.555608,41.6,2.7
2021-09-17 14:20:54,122,1.88,0.39,0.99,229.17,0.07,44.677009,-63.555609,41.3,2.7
2021-09-17 14:20:56,124,1.91,0.30,0.94,212.43,0.07,44.677010,-63.555610,41.2,2.7
2021-09-17 14:20:58,126,1.93,0.52,0.68,159.40,0.08,44.677012,-63.555611,41.2,2.7
2021-09-17 14:21:00,128,1.94,0.60,0.41,90.99,0.07,44.677013,-63.555614,41.3,2.7
2021-09-17 14:21:02,130,1.94,0.52,0.25,57.67,0.08,44.677015,-63.555615,41.3,2.7
2021-09-17 14:21:04,132,1.95,0.45,0.21,43.26,0.08,44.677018,-63.555617,41.3,2.7
2021-09-17 14:21:06,134,1.95,0.46,0.19,41.10,0.08,44.677020,-63.555618,41.2,2.7
2021-09-17 14:21:08,136,1.96,0.40,0.19,38.62,0.08,44.677024,-63.555620,41.4,3.0
2021-09-17 14:21:10,138,1.97,0.35,0.17,35.31,0.08,44.677027,-63.555620,41.1,3.0
2021-09-17 14:21:12,140,1.97,0.29,0.15,28.34,0.10,44.677026,-63.555621,40.8,3.0
2021-09-17 14:21:14,142,1.98,0.27,0.16,25.94,0.10,44.677025,-63.555622,40.4,3.0
2021-09-17 14:21:16,144,1.98,0.20,0.16,25.13,0.11,44.677027,-63.555622,40.3,3.0
2021-09-17 14:21:18,146,1.99,0.18,0.15,23.55,0.10,44.677031,-63.555623,40.5,2.9
2021-09-17 14:21:20,148,1.99,0.12,0.14,23.63,0.10,44.677032,-63.555626,40.3,2.9
2021-09-17 14:21:22,150,1.99,0.10,0.13,21.16,0.10,44.677030,-63.555629,39.9,2.9
