Serial Number,WD46410AB
Sample ID,00083
Start Time,2022-05-19 17:45:42 UTC
Duration,0:04:32
Total Volume (l),2.0
Distance (m),9
Peak Pressure (psi),10.5
Avg Flow (l/min),0.4
Avg Rate (mL/m),237.4
Avg Speed (m/s),0.0


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2022-05-19 17:45:42,0,0.00,-0.25,0.00,0.00,0.05,45.103420,-61.541042,4.6,3.4
2022-05-19 17:45:44,2,0.00,-0.02,0.00,0.00,0.05,45.103424,-61.541042,4.9,3.4
2022-05-19 17:45:46,4,0.00,-0.06,0.07,22.85,0.05,45.103426,-61.541040,4.9,3.4
2022-05-19 17:45:48,6,0.00,0.07,0.02,6.36,0.05,45.103427,-61.541038,4.8,3.4
2022-05-19 17:45:50,8,0.00,1.73,0.01,3.37,0.05,45.103428,-61.541037,4.7,3.4
2022-05-19 17:45:52,10,0.00,3.12,0.00,0.00,0.05,45.103429,-61.541036,4.6,3.4
2022-05-19 17:45:54,12,0.00,3.59,0.00,0.00,0.05,45.103429,-61.541036,4.6,3.4
2022-05-19 17:45:56,14,0.00,4.07,0.00,0.00,0.04,45.103429,-61.541034,4.6,3.4
2022-05-19 17:45:58,16,0.00,4.50,0.00,0.00,0.04,45.103429,-61.541033,4.6,3.4
2022-05-19 17:46:00,18,0.00,4.66,0.00,0.00,0.04,45.103429,-61.541031,4.6,3.4
2022-05-19 17:46:02,20,0.00,4.82,0.00,0.00,0.03,45.103430,-61.541030,4.6,3.4
2022-05-19 17:46:04,22,0.00,4.52,0.00,0.00,0.03,45.103430,-61.541029,4.6,3.4
2022-05-19 17:46:06,24,0.00,8.62,0.00,0.00,0.03,45.103430,-61.541030,4.7,3.4
2022-05-19 17:46:08,26,0.01,10.01,0.18,98.20,0.03,45.103429,-61.541029,4.7,3.4
2022-05-19 17:46:10,28,0.03,10.39,0.51,276.87,0.03,45.103429,-61.541030,4.9,3.4
2022-05-19 17:46:12,30,0.06,10.53,0.69,349.54,0.03,45.103430,-61.541030,5.1,3.4
2022-05-19 17:46:14,32,0.08,9.92,0.62,302.59,0.03,45.103431,-61.541032,5.3,3.4
2022-05-19 17:46:16,34,0.10,9.97,0.69,342.26,0.03,45.103432,-61.541034,5.4,3.4
