Serial Number,WD46410AB
Sample ID,00045
Start Time,2021-09-25 21:03:50 UTC
Duration,0:03:22
Total Volume (l),0.52
Distance (m),6
Peak Pressure (psi),10.7
Avg Flow (l/min),0.2
Avg Rate (mL/m),96.5
Avg Speed (m/s),0.0


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2021-09-25 21:03:50,0,0.00,-0.20,0.00,0.00,0.05,43.400031,-66.012678,8.3,3.4
2021-09-25 21:03:52,2,0.00,-0.04,0.00,0.00,0.05,43.400032,-66.012676,8.1,3.4
2021-09-25 21:03:54,4,0.00,0.09,0.09,30.58,0.05,43.400032,-66.012676,8.0,3.4
2021-09-25 21:03:56,6,0.00,0.24,0.03,10.10,0.05,43.400032,-66.012676,7.9,3.4
2021-09-25 21:03:58,8,0.00,2.63,0.01,3.37,0.05,43.400032,-66.012677,8.0,3.4
2021-09-25 21:04:00,10,0.00,3.55,0.00,0.00,0.05,43.400032,-66.012679,8.1,3.0
2021-09-25 21:04:02,12,0.00,4.08,0.00,0.00,0.05,43.400033,-66.012680,8.1,3.0
2021-09-25 21:04:04,14,0.00,4.53,0.00,0.00,0.04,43.400032,-66.012680,8.3,3.0
2021-09-25 21:04:06,16,0.00,4.68,0.00,0.00,0.04,43.400031,-66.012681,8.5,3.0
2021-09-25 21:04:08,18,0.00,4.82,0.00,0.00,0.03,43.400030,-66.012681,8.6,3.0
2021-09-25 21:04:10,20,0.00,4.99,0.00,0.00,0.03,43.400029,-66.012680,8.7,3.0
2021-09-25 21:04:12,22,0.00,4.89,0.00,0.00,0.03,43.400028,-66.012681,8.9,3.0
2021-09-25 21:04:14,24,0.00,4.73,0.00,0.00,0.03,43.400027,-66.012682,9.0,3.0
2021-09-25 21:04:16,26,0.00,9.62,0.00,0.00,0.03,43.400027,-66.012682,9.2,3.0
2021-09-25 21:04:18,28,0.01,10.75,0.16,98.95,0.03,43.400026,-66.012683,9.3,3.0
2021-09-25 21:04:20,30,0.03,10.72,0.49,307.02,0.03,43.400027,-66.012683,9.2,3.1
2021-09-25 21:04:22,32,0.04,9.57,0.39,255.40,0.03,43.400027,-66.012683,9.2,3.1
2021-09-25 21:04:24,34,0.06,10.40,0.54,368.85,0.02,43.400026,-66.012683,9.3,3.1
2021-09-25 21:04:26,36,0.08,9.72,0.56,387.28,0.02,43.400026,-66.012683,9.4,3.1
2021-09-25 21:04:28,38,0.10,10.27,0.59,387.90,0.02,43.400026,-66.012683,9.5,3.1
2021-09-25 21:04:30,40,0.12,9.83,0.55,367.40,0.02,43.400025,-66.012683,9.7,3.1
2021-09-25 21:04:32,42,0.14,10.12,0.53,413.74,0.02,43.400025,-66.012684,9.8,3.1
2021-09-25 21:04:34,44,0.15,9.97,0.48,410.26,0.02,43.400025,-66.012684,9.9,3.1
2021-09-25 21:04:36,46,0.17,10.12,0.48,397.02,0.02,43.400025,-66.012684,10.1,3.1
2021-09-25 21:04:38,48,0.18,9.94,0.44,371.31,0.02,43.400025,-66.012685,10.4,3.1
2021-09-25 21:04:40,50,0.20,10.05,0.43,323.55,0.02,43.400024,-66.012686,10.6,3.4
2021-09-25 21:04:42,52,0.21,10.03,0.40,290.49,0.02,43.400024,-66.012686,10.8,3.4
2021-09-25 21:04:44,54,0.22,9.97,0.39,286.98,0.02,43.400024,-66.012687,10.8,3.4
2021-09-25 21:04:46,56,0.23,10.00,0.36,252.63,0.02,43.400025,-66.012687,10.8,3.4
2021-09-25 21:04:48,58,0.24,9.93,0.35,235.22,0.03,43.400025,-66.012687,10.7,3.4
2021-09-25 21:04:50,60,0.25,10.02,0.32,212.91,0.03,43.400025,-66.012686,10.6,3.4
2021-09-25 21:04:52,62,0.26,10.05,0.31,218.46,0.02,43.400025,-66.012686,10.4,3.4
2021-09-25 21:04:54,64,0.27,9.99,0.30,203.67,0.02,43.400025,-66.012685,10.2,3.4
2021-09-25 21:04:56,66,0.28,9.92,0.28,199.86,0.02,43.400025,-66.012684,9.9,3.4
2021-09-25 21:04:58,68,0.29,10.10,0.26,167.96,0.03,43.400025,-66.012684,9.7,3.4
2021-09-25 21:05:00,70,0.30,10.02,0.25,172.53,0.02,43.400026,-66.012682,9.4,3.4
2021-09-25 21:05:02,72,0.31,9.97,0.24,173.91,0.02,43.400025,-66.012682,9.2,3.4
2021-09-25 21:05:04,74,0.32,10.00,0.23,149.45,0.02,43.400026,-66.012681,9.0,3.4
2021-09-25 21:05:06,76,0.32,10.01,0.22,139.95,0.03,43.400026,-66.012680,8.6,3.4
2021-09-25 21:05:08,78,0.33,10.03,0.21,138.89,0.03,43.400028,-66.012679,8.4,3.4
2021-09-25 21:05:10,80,0.34,10.04,0.20,122.55,0.03,43.400028,-66.012678,8.3,3.4
2021-09-25 21:05:12,82,0.34,9.97,0.18,110.50,0.03,43.400028,-66.012677,8.1,3.4
2021-09-25 21:05:14,84,0.35,10.03,0.17,99.94,0.03,43.400028,-66.012676,7.9,3.4
2021-09-25 21:05:16,86,0.35,9.96,0.17,83.46,0.03,43.400028,-66.012675,7.7,3.4
2021-09-25 21:05:18,88,0.36,9.98,0.15,75.99,0.03,43.400029,-66.012674,7.5,3.4
2021-09-25 21:05:20,90,0.36,10.08,0.15,70.72,0.03,43.400029,-66.012673,7.6,3.4
2021-09-25 21:05:22,92,0.37,9.90,0.13,61.82,0.04,43.400029,-66.012673,7.5,3.4
2021-09-25 21:05:24,94,0.37,9.97,0.13,60.44,0.04,43.400028,-66.012673,7.6,3.4
2021-09-25 21:05:26,96,0.37,9.91,0.11,49.02,0.04,43.400027,-66.012673,7.7,3.4
2021-09-25 21:05:28,98,0.38,10.08,0.10,43.12,0.04,43.400026,-66.012674,7.9,3.4
2021-09-25 21:05:30,100,0.38,10.03,0.08,36.73,0.04,43.400026,-66.012674,8.0,3.4
2021-09-25 21:05:32,102,0.38,10.06,0.08,36.78,0.04,43.400026,-66.012674,8.1,3.4
2021-09-25 21:05:34,104,0.38,9.89,0.05,21.48,0.04,43.400026,-66.012674,8.3,3.4
2021-09-25 21:05:36,106,0.39,10.01,0.05,23.78,0.04,43.400025,-66.012675,8.5,3.4
2021-09-25 21:05:38,108,0.39,9.89,0.03,14.45,0.03,43.400025,-66.012675,8.7,3.4
2021-09-25 21:05:40,110,0.39,10.11,0.01,5.23,0.03,43.400025,-66.012676,8.8,3.4
2021-09-25 21:05:42,112,0.39,10.04,0.00,0.00,0.03,43.400025,-66.012675,8.8,3.4
2021-09-25 21:05:44,114,0.39,10.10,0.00,0.00,0.03,43.400025,-66.012676,8.9,3.4
2021-09-25 21:05:46,116,0.39,10.06,0.00,0.00,0.03,43.400025,-66.012676,8.7,3.4
2021-09-25 21:05:48,118,0.39,9.36,0.00,0.00,0.03,43.400025,-66.012675,8.6,3.4
2021-09-25 21:05:50,120,0.40,10.15,0.30,151.52,0.03,43.400025,-66.012675,8.5,3.4
2021-09-25 21:05:52,122,0.42,9.70,0.46,234.45,0.04,43.400025,-66.012675,8.5,3.4
2021-09-25 21:05:54,124,0.44,10.18,0.53,246.74,0.04,43.400025,-66.012674,8.4,3.4
2021-09-25 21:05:56,126,0.46,9.60,0.55,255.70,0.04,43.400025,-66.012673,8.3,3.4
2021-09-25 21:05:58,128,0.48,9.75,0.67,316.78,0.04,43.400025,-66.012672,8.1,3.4
2021-09-25 21:06:00,130,0.49,9.41,0.49,218.36,0.04,43.400026,-66.012672,8.1,3.4
2021-09-25 21:06:02,132,0.49,8.69,0.19,83.44,0.04,43.400026,-66.012672,8.2,3.4
2021-09-25 21:06:04,134,0.49,7.76,0.05,22.89,0.04,43.400027,-66.012674,8.2,3.4
2021-09-25 21:06:06,136,0.49,7.03,0.01,4.84,0.03,43.400028,-66.012674,8.1,3.4
2021-09-25 21:06:08,138,0.49,6.92,0.00,0.00,0.03,43.400030,-66.012674,8.1,3.4
2021-09-25 21:06:10,140,0.49,6.86,0.00,0.00,0.03,43.400030,-66.012674,8.0,3.4
2021-09-25 21:06:12,142,0.49,6.81,0.00,0.00,0.03,43.400031,-66.012674,8.1,3.4
2021-09-25 21:06:14,144,0.49,6.76,0.00,0.00,0.03,43.400030,-66.012675,8.3,3.4
2021-09-25 21:06:16,146,0.49,6.70,0.00,0.00,0.03,43.400030,-66.012676,8.4,3.4
2021-09-25 21:06:18,148,0.49,6.59,0.00,0.00,0.03,43.400031,-66.012676,8.4,3.4
2021-09-25 21:06:20,150,0.49,6.48,0.00,0.00,0.03,43.400031,-66.012677,8.4,3.4
2021-09-25 21:06:22,152,0.49,6.23,0.00,0.00,0.03,43.400031,-66.012677,8.4,3.4
2021-09-25 21:06:24,154,0.49,6.23,0.00,0.00,0.03,43.400031,-66.012677,8.6,3.4
2021-09-25 21:06:26,156,0.49,6.42,0.00,0.00,0.03,43.400030,-66.012677,8.7,3.4
2021-09-25 21:06:28,158,0.49,6.54,0.00,0.00,0.03,43.400029,-66.012678,9.0,3.4
2021-09-25 21:06:30,160,0.49,6.43,0.00,0.00,0.03,43.400029,-66.012678,9.2,3.4
2021-09-25 21:06:32,162,0.49,6.46,0.00,0.00,0.03,43.400028,-66.012678,9.4,3.4
2021-09-25 21:06:34,164,0.49,6.41,0.00,0.00,0.03,43.400028,-66.012679,9.8,3.4
2021-09-25 21:06:36,166,0.49,6.21,0.00,0.00,0.03,43.400027,-66.012679,10.1,3.4
2021-09-25 21:06:38,168,0.49,6.11,0.00,0.00,0.03,43.400027,-66.012679,10.3,3.4
2021-09-25 21:06:40,170,0.49,5.99,0.00,0.00,0.03,43.400027,-66.012680,10.5,3.4
2021-09-25 21:06:42,172,0.49,5.89,0.00,0.00,0.03,43.400027,-66.012680,10.6,3.4
2021-09-25 21:06:44,174,0.49,5.78,0.00,0.00,0.03,43.400026,-66.012681,10.9,3.4
2021-09-25 21:06:46,176,0.49,5.56,0.00,0.00,0.03,43.400025,-66.012681,11.1,3.4
2021-09-25 21:06:48,178,0.49,6.03,0.00,0.00,0.03,43.400024,-66.012682,11.3,3.4
2021-09-25 21:06:50,180,0.50,1.05,0.02,9.88,0.03,43.400023,-66.012682,11.4,3.4
2021-09-25 21:06:52,182,0.50,1.37,0.14,67.63,0.03,43.400023,-66.012682,11.4,3.4
2021-09-25 21:06:54,184,0.51,1.34,0.16,84.39,0.03,43.400022,-66.012682,11.4,3.4
2021-09-25 21:06:56,186,0.51,1.36,0.12,72.99,0.03,43.400023,-66.012682,11.2,3.4
2021-09-25 21:06:58,188,0.51,1.34,0.09,51.55,0.03,43.400024,-66.012682,10.9,3.4
2021-09-25 21:07:00,190,0.52,1.40,0.08,44.08,0.03,43.400025,-66.012681,10.6,3.4
2021-09-25 21:07:02,192,0.52,1.36,0.05,26.33,0.03,43.400026,-66.012681,10.4,3.4
2021-09-25 21:07:04,194,0.52,1.35,0.04,22.64,0.03,43.400026,-66.012681,10.2,3.4
2021-09-25 21:07:06,196,0.52,1.31,0.03,18.48,0.03,43.400027,-66.012682,10.0,3.4
2021-09-25 21:07:08,198,0.52,1.31,0.01,6.03,0.03,43.400028,-66.012682,9.7,3.4
2021-09-25 21:07:10,200,0.52,1.33,0.01,6.24,0.03,43.400028,-66.012681,9.4,3.4
2021-09-25 21:07:12,202,0.52,1.36,0.01,6.40,0.03,43.400029,-66.012681,9.2,3.4
