Serial Number,WD46410AB
Sample ID,00115
Start Time,2022-09-30 13:30:04 UTC
Duration,0:04:06
Total Volume (l),3.15
Distance (m),13
Peak Pressure (psi),10.0
Avg Flow (l/min),0.9
Avg Rate (mL/m),294.5
Avg Speed (m/s),0.1


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2022-09-30 13:30:04,0,0.00,-0.25,0.00,0.00,0.08,44.677032,-63.555639,52.8,2500.0
2022-09-30 13:30:06,2,0.00,-0.25,0.00,0.00,0.08,44.677039,-63.555636,51.4,2500.0
2022-09-30 13:30:08,4,0.00,-0.08,0.00,0.00,0.08,44.677041,-63.555635,50.8,2500.0
2022-09-30 13:30:10,6,0.00,0.26,0.14,27.65,0.09,44.677040,-63.555632,51.0,12.1
2022-09-30 13:30:12,8,0.00,1.08,0.04,7.42,0.09,44.677043,-63.555634,50.4,12.1
2022-09-30 13:30:14,10,0.00,2.23,0.01,1.77,0.09,44.677044,-63.555635,50.1,12.1
2022-09-30 13:30:16,12,0.00,2.58,0.00,0.00,0.09,44.677043,-63.555635,50.4,12.1
2022-09-30 13:30:18,14,0.00,4.20,0.00,0.00,0.09,44.677049,-63.555634,48.5,12.1
2022-09-30 13:30:20,16,0.03,5.61,0.57,103.43,0.09,44.677050,-63.555637,47.9,12.1
2022-09-30 13:30:22,18,0.07,5.60,1.03,185.09,0.09,44.677050,-63.555639,48.1,12.1
2022-09-30 13:30:24,20,0.11,3.49,1.15,193.90,0.10,44.677051,-63.555642,48.0,12.1
2022-09-30 13:30:26,22,0.15,2.88,1.10,184.07,0.10,44.677049,-63.555643,48.4,12.1
2022-09-30 13:30:28,24,0.18,3.42,1.01,178.41,0.10,44.677050,-63.555647,47.8,12.1
2022-09-30 13:30:30,26,0.21,3.20,1.01,184.27,0.09,44.677049,-63.555648,48.0,12.1
2022-09-30 13:30:32,28,0.25,3.03,1.01,186.31,0.09,44.677050,-63.555650,47.9,12.1
2022-09-30 13:30:34,30,0.28,3.29,1.00,186.32,0.09,44.677048,-63.555651,48.1,12.1
2022-09-30 13:30:36,32,0.31,2.97,1.01,184.98,0.09,44.677049,-63.555653,47.7,12.1
2022-09-30 13:30:38,34,0.35,3.03,1.00,239.81,0.07,44.677048,-63.555652,47.9,12.1
2022-09-30 13:30:40,36,0.38,3.26,1.00,267.95,0.06,44.677051,-63.555654,47.2,9.0
2022-09-30 13:30:42,38,0.42,3.22,1.00,311.24,0.06,44.677050,-63.555655,47.0,9.0
2022-09-30 13:30:44,40,0.45,2.89,1.00,331.02,0.05,44.677048,-63.555655,47.3,9.0
2022-09-30 13:30:46,42,0.48,3.14,1.00,332.01,0.05,44.677046,-63.555654,47.4,9.0
2022-09-30 13:30:48,44,0.52,2.76,1.00,363.90,0.04,44.677044,-63.555652,47.8,9.0
2022-09-30 13:30:50,46,0.55,2.85,1.00,400.64,0.04,44.677042,-63.555651,48.0,9.0
2022-09-30 13:30:52,48,0.58,2.73,1.00,427.35,0.04,44.677042,-63.555653,47.9,9.0
2022-09-30 13:30:54,50,0.62,2.87,1.01,345.30,0.05,44.677038,-63.555653,48.3,9.0
2022-09-30 13:30:56,52,0.65,2.91,1.00,341.18,0.05,44.677035,-63.555655,48.4,9.0
2022-09-30 13:30:58,54,0.68,3.02,1.00,356.13,0.05,44.677033,-63.555655,48.5,9.0
2022-09-30 13:31:00,56,0.72,3.38,1.00,351.62,0.05,44.677029,-63.555657,49.1,9.0
2022-09-30 13:31:02,58,0.75,3.25,1.02,353.43,0.05,44.677025,-63.555658,50.1,9.0
2022-09-30 13:31:04,60,0.78,3.31,1.01,303.85,0.06,44.677018,-63.555657,51.6,9.0
2022-09-30 13:31:06,62,0.82,3.24,1.00,290.11,0.06,44.677015,-63.555657,52.3,9.0
