Serial Number,WD46410AB
Sample ID,00077
Start Time,2022-05-19 15:06:33 UTC
Duration,0:00:14
Total Volume (l),0.09
Distance (m),0
Peak Pressure (psi),7.0
Avg Flow (l/min),0.3
Avg Rate (mL/m),999.0
Avg Speed (m/s),0.0


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2022-05-19 15:06:33,0,0.00,-0.20,0.00,999.00,0.00,0.000000,0.000000,0.0,250.0
2022-05-19 15:06:35,2,0.00,-0.14,0.00,999.00,0.00,0.000000,0.000000,0.0,250.0
2022-05-19 15:06:37,4,0.01,0.43,0.36,999.00,0.00,0.000000,0.000000,0.0,250.0
2022-05-19 15:06:39,6,0.04,0.73,0.64,999.00,0.00,0.000000,0.000000,0.0,250.0
2022-05-19 15:06:41,8,0.05,1.78,0.44,999.00,0.00,0.000000,0.000000,0.0,250.0
2022-05-19 15:06:43,10,0.06,2.63,0.19,999.00,0.00,0.000000,0.000000,0.0,250.0
2022-05-19 15:06:45,12,0.06,5.23,0.08,999.00,0.00,0.000000,0.000000,0.0,4.8
2022-05-19 15:06:47,14,0.09,7.00,0.67,999.00,0.00,0.000000,0.000000,0.0,4.8
