Serial Number,WD46410AB
Sample ID,00002
Start Time,2021-02-24 00:32:03 UTC
Duration,0:01:10
Total Volume (l),1.01
Distance (m),38
Peak Pressure (psi),4.8
Avg Flow (l/min),0.8
Avg Rate (mL/m),32.2
Avg Speed (m/s),0.5


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2021-02-24 00:32:03,0,0.00,0.54,0.01,0.36,0.46,45.741904,-122.617407,73.3,9.4
2021-02-24 00:32:05,2,0.00,1.14,0.00,0.00,0.49,45.741895,-122.617394,72.3,9.4
2021-02-24 00:32:07,4,0.01,2.45,0.30,9.59,0.49,45.741891,-122.617392,72.3,9.4
2021-02-24 00:32:09,6,0.04,4.82,0.70,23.37,0.50,45.741919,-122.617406,72.4,9.4
2021-02-24 00:32:11,8,0.08,3.14,0.83,26.77,0.51,45.741925,-122.617406,71.4,9.4
2021-02-24 00:32:13,10,0.10,2.12,0.92,30.01,0.50,45.741911,-122.617398,71.4,9.4
2021-02-24 00:32:15,12,0.13,3.69,0.85,26.81,0.57,45.741926,-122.617410,71.7,9.4
2021-02-24 00:32:17,14,0.16,2.59,0.90,26.31,0.57,45.741911,-122.617392,71.1,9.4
2021-02-24 00:32:19,16,0.19,2.75,0.90,28.70,0.48,45.741897,-122.617382,71.3,9.4
2021-02-24 00:32:21,18,0.22,2.80,0.89,35.18,0.40,45.741881,-122.617369,71.3,9.4
2021-02-24 00:32:23,20,0.26,2.67,0.90,42.96,0.34,45.741880,-122.617369,71.5,9.4
2021-02-24 00:32:25,22,0.28,2.56,0.90,51.90,0.23,45.741880,-122.617368,71.7,9.4
2021-02-24 00:32:27,24,0.31,2.84,0.90,88.92,0.18,45.741895,-122.617374,71.5,9.4
2021-02-24 00:32:29,26,0.35,2.75,0.90,77.64,0.20,45.741900,-122.617376,71.3,9.3
2021-02-24 00:32:31,28,0.38,2.65,0.90,77.56,0.18,45.741921,-122.617391,71.4,9.3
2021-02-24 00:32:33,30,0.40,2.93,0.90,78.58,0.18,45.741926,-122.617393,71.4,9.3
2021-02-24 00:32:35,32,0.43,2.70,0.90,75.38,0.26,45.741948,-122.617410,71.5,9.3
2021-02-24 00:32:37,34,0.47,2.67,0.89,45.36,0.37,45.741970,-122.617424,71.6,9.3
2021-02-24 00:32:39,36,0.50,2.57,0.90,35.63,0.48,45.741991,-122.617440,71.8,9.3
2021-02-24 00:32:41,38,0.52,2.69,0.90,27.70,0.57,45.741995,-122.617443,71.4,9.3
2021-02-24 00:32:43,40,0.56,2.95,0.89,24.85,0.64,45.742002,-122.617447,71.4,9.3
2021-02-24 00:32:45,42,0.58,2.72,0.90,22.64,0.66,45.742011,-122.617449,70.7,19.4
2021-02-24 00:32:47,44,0.62,2.77,0.90,22.42,0.68,45.742047,-122.617453,69.5,9.3
2021-02-24 00:32:49,46,0.64,2.87,0.90,21.52,0.71,45.742069,-122.617459,69.6,9.3
2021-02-24 00:32:51,48,0.68,2.62,0.90,20.36,0.77,45.742083,-122.617466,70.2,9.3
2021-02-24 00:32:53,50,0.71,2.65,0.90,18.75,0.82,45.742087,-122.617466,70.2,19.3
2021-02-24 00:32:55,52,0.73,2.88,0.90,17.96,0.86,45.742085,-122.617467,70.2,9.3
2021-02-24 00:32:57,54,0.77,2.53,0.90,17.42,0.84,45.742103,-122.617465,69.9,9.3
2021-02-24 00:32:59,56,0.80,2.74,0.90,17.88,0.82,45.742118,-122.617471,70.7,9.3
2021-02-24 00:33:01,58,0.83,2.79,0.90,19.07,0.75,45.742116,-122.617470,70.9,9.3
2021-02-24 00:33:03,60,0.86,2.72,0.90,20.49,0.70,45.742115,-122.617476,71.5,9.3
2021-02-24 00:33:05,62,0.89,2.90,0.90,21.81,0.68,45.742138,-122.617469,71.0,9.3
2021-02-24 00:33:07,64,0.92,2.94,0.90,22.53,0.65,45.742141,-122.617462,70.9,9.3
2021-02-24 00:33:09,66,0.95,2.53,0.90,25.44,0.56,45.742129,-122.617459,71.5,9.2
2021-02-24 00:33:11,68,0.98,2.88,0.90,27.64,0.52,45.742124,-122.617459,72.3,9.2
2021-02-24 00:33:13,70,1.01,2.90,0.90,29.10,0.55,45.742137,-122.617459,72.3,9.2
