Serial Number,WD46410AB
Sample ID,00042
Start Time,2021-09-25 18:04:32 UTC
Duration,0:05:42
Total Volume (l),0.21
Distance (m),12
Peak Pressure (psi),11.4
Avg Flow (l/min),0.0
Avg Rate (mL/m),17.2
Avg Speed (m/s),0.0


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2021-09-25 18:04:32,0,0.00,-0.20,0.14,52.20,0.05,43.415875,-66.017825,10.1,6.2
2021-09-25 18:04:34,2,0.00,-0.14,0.06,22.30,0.05,43.415876,-66.017825,10.0,6.2
2021-09-25 18:04:36,4,0.00,0.04,0.03,10.76,0.05,43.415877,-66.017824,9.8,6.2
2021-09-25 18:04:38,6,0.00,2.21,0.01,3.51,0.05,43.415878,-66.017822,9.6,6.2
2021-09-25 18:04:40,8,0.00,3.09,0.00,0.00,0.05,43.415878,-66.017820,9.3,6.2
2021-09-25 18:04:42,10,0.01,3.64,0.01,3.48,0.05,43.415878,-66.017819,9.2,6.2
2021-09-25 18:04:44,12,0.01,3.98,0.00,0.00,0.05,43.415878,-66.017820,9.2,6.2
2021-09-25 18:04:46,14,0.01,4.18,0.00,0.00,0.05,43.415878,-66.017821,9.2,6.2
2021-09-25 18:04:48,16,0.01,4.20,0.00,0.00,0.05,43.415878,-66.017822,9.2,6.2
2021-09-25 18:04:50,18,0.01,4.23,0.00,0.00,0.05,43.415878,-66.017822,9.1,6.2
2021-09-25 18:04:52,20,0.01,4.29,0.00,0.00,0.06,43.415878,-66.017821,8.9,6.2
2021-09-25 18:04:54,22,0.01,4.36,0.00,0.00,0.06,43.415878,-66.017823,9.1,6.2
2021-09-25 18:04:56,24,0.01,4.42,0.00,0.00,0.07,43.415878,-66.017823,9.1,6.2
2021-09-25 18:04:58,26,0.01,4.58,0.00,0.00,0.07,43.415878,-66.017823,9.0,6.2
2021-09-25 18:05:00,28,0.01,4.48,0.00,0.00,0.07,43.415878,-66.017824,9.1,6.2
2021-09-25 18:05:02,30,0.01,4.43,0.00,0.00,0.06,43.415878,-66.017824,9.1,6.2
2021-09-25 18:05:04,32,0.01,6.58,0.00,0.00,0.06,43.415878,-66.017824,9.2,6.2
2021-09-25 18:05:06,34,0.01,11.04,0.00,0.00,0.06,43.415879,-66.017824,9.3,6.2
2021-09-25 18:05:08,36,0.01,11.36,0.07,20.40,0.06,43.415880,-66.017825,9.4,6.2
2021-09-25 18:05:10,38,0.01,8.58,0.06,17.62,0.06,43.415880,-66.017827,9.6,6.2
2021-09-25 18:05:12,40,0.03,11.00,0.45,146.48,0.04,43.415881,-66.017827,9.5,6.2
2021-09-25 18:05:14,42,0.04,9.07,0.27,125.00,0.04,43.415883,-66.017827,9.6,6.2
2021-09-25 18:05:16,44,0.05,10.68,0.36,173.91,0.03,43.415884,-66.017827,9.6,6.2
2021-09-25 18:05:18,46,0.06,9.50,0.23,112.75,0.03,43.415885,-66.017827,9.4,6.2
2021-09-25 18:05:20,48,0.07,10.43,0.33,169.49,0.03,43.415886,-66.017827,9.3,6.2
2021-09-25 18:05:22,50,0.08,9.68,0.20,99.65,0.03,43.415888,-66.017826,9.2,6.2
2021-09-25 18:05:24,52,0.08,10.21,0.25,128.40,0.04,43.415889,-66.017826,9.2,6.2
2021-09-25 18:05:26,54,0.09,9.91,0.16,69.17,0.04,43.415890,-66.017826,9.2,6.2
2021-09-25 18:05:28,56,0.10,10.04,0.22,94.87,0.04,43.415890,-66.017826,9.2,6.2
2021-09-25 18:05:30,58,0.10,9.95,0.13,55.41,0.04,43.415891,-66.017825,9.1,6.2
2021-09-25 18:05:32,60,0.11,9.96,0.19,79.07,0.04,43.415892,-66.017826,9.2,4.1
2021-09-25 18:05:34,62,0.11,10.08,0.09,41.15,0.04,43.415892,-66.017827,9.4,4.1
2021-09-25 18:05:36,64,0.11,9.96,0.13,58.80,0.04,43.415893,-66.017827,9.4,4.1
2021-09-25 18:05:38,66,0.12,10.13,0.07,32.27,0.04,43.415894,-66.017826,9.1,4.1
2021-09-25 18:05:40,68,0.12,9.99,0.08,38.20,0.03,43.415894,-66.017827,9.1,4.1
2021-09-25 18:05:42,70,0.12,10.09,0.05,24.47,0.03,43.415894,-66.017827,9.0,4.1
2021-09-25 18:05:44,72,0.12,9.91,0.06,28.65,0.03,43.415895,-66.017827,8.8,4.1
2021-09-25 18:05:46,74,0.12,10.11,0.02,12.17,0.03,43.415895,-66.017827,8.8,4.1
2021-09-25 18:05:48,76,0.12,9.79,0.02,11.53,0.03,43.415896,-66.017827,8.7,4.1
2021-09-25 18:05:50,78,0.12,10.19,0.02,11.82,0.03,43.415897,-66.017826,8.7,4.1
2021-09-25 18:05:52,80,0.12,9.79,0.01,5.56,0.03,43.415897,-66.017825,8.7,4.1
2021-09-25 18:05:54,82,0.12,10.18,0.00,0.00,0.03,43.415897,-66.017825,8.7,4.1
2021-09-25 18:05:56,84,0.12,9.88,0.00,0.00,0.04,43.415898,-66.017822,8.4,4.1
2021-09-25 18:05:58,86,0.12,10.15,0.00,0.00,0.04,43.415898,-66.017822,8.2,4.1
2021-09-25 18:06:00,88,0.12,9.89,0.00,0.00,0.04,43.415898,-66.017821,8.2,4.1
2021-09-25 18:06:02,90,0.12,10.28,0.00,0.00,0.05,43.415898,-66.017819,8.2,4.1
2021-09-25 18:06:04,92,0.12,9.68,0.00,0.00,0.05,43.415898,-66.017818,8.1,4.1
2021-09-25 18:06:06,94,0.13,10.24,0.03,10.17,0.05,43.415899,-66.017817,8.0,4.1
2021-09-25 18:06:08,96,0.13,9.57,0.01,3.50,0.05,43.415898,-66.017817,8.1,4.1
2021-09-25 18:06:10,98,0.13,10.54,0.07,24.31,0.05,43.415898,-66.017817,8.1,4.1
2021-09-25 18:06:12,100,0.13,9.77,0.03,10.38,0.05,43.415898,-66.017817,8.2,4.1
2021-09-25 18:06:14,102,0.13,10.12,0.01,3.37,0.05,43.415898,-66.017817,8.2,4.1
2021-09-25 18:06:16,104,0.13,10.26,0.06,22.73,0.04,43.415899,-66.017818,8.2,4.1
2021-09-25 18:06:18,106,0.13,10.79,0.10,37.75,0.04,43.415899,-66.017818,8.2,4.1
2021-09-25 18:06:20,108,0.14,10.16,0.05,19.52,0.04,43.415898,-66.017818,8.2,4.1
2021-09-25 18:06:22,110,0.14,9.48,0.01,4.40,0.04,43.415897,-66.017818,8.3,4.1
2021-09-25 18:06:24,112,0.14,10.54,0.06,27.17,0.04,43.415896,-66.017818,8.5,4.1
2021-09-25 18:06:26,114,0.14,11.26,0.11,52.91,0.04,43.415894,-66.017817,8.8,4.1
2021-09-25 18:06:28,116,0.14,10.78,0.06,27.36,0.04,43.415892,-66.017817,8.8,4.1
2021-09-25 18:06:30,118,0.14,10.25,0.02,8.71,0.04,43.415891,-66.017816,8.8,4.1
2021-09-25 18:06:32,120,0.14,9.74,0.00,0.00,0.04,43.415890,-66.017816,8.9,4.1
2021-09-25 18:06:34,122,0.14,9.98,0.00,0.00,0.04,43.415889,-66.017816,9.0,4.1
2021-09-25 18:06:36,124,0.15,10.46,0.05,17.56,0.05,43.415890,-66.017816,8.9,4.1
2021-09-25 18:06:38,126,0.15,10.38,0.01,3.50,0.05,43.415890,-66.017816,8.9,4.1
2021-09-25 18:06:40,128,0.15,9.96,0.00,0.00,0.05,43.415889,-66.017816,9.2,4.1
2021-09-25 18:06:42,130,0.15,10.73,0.10,35.27,0.05,43.415888,-66.017817,9.5,4.1
2021-09-25 18:06:44,132,0.15,10.34,0.03,11.70,0.04,43.415888,-66.017816,9.6,4.1
2021-09-25 18:06:46,134,0.15,9.93,0.01,3.87,0.04,43.415887,-66.017816,9.8,4.1
2021-09-25 18:06:48,136,0.15,10.73,0.10,39.35,0.04,43.415887,-66.017817,10.0,4.1
2021-09-25 18:06:50,138,0.15,10.38,0.03,12.03,0.04,43.415887,-66.017816,10.2,4.1
2021-09-25 18:06:52,140,0.15,10.02,0.01,4.25,0.04,43.415886,-66.017817,10.5,3.3
2021-09-25 18:06:54,142,0.16,10.78,0.08,39.98,0.03,43.415886,-66.017815,10.4,3.3
2021-09-25 18:06:56,144,0.16,10.52,0.04,25.20,0.02,43.415887,-66.017815,10.4,3.3
2021-09-25 18:06:58,146,0.16,10.22,0.01,6.68,0.03,43.415886,-66.017816,10.4,3.3
2021-09-25 18:07:00,148,0.16,9.91,0.00,0.00,0.03,43.415887,-66.017815,10.2,3.3
2021-09-25 18:07:02,150,0.16,10.72,0.06,38.02,0.03,43.415888,-66.017815,10.0,3.3
2021-09-25 18:07:04,152,0.16,10.45,0.02,12.12,0.03,43.415889,-66.017815,9.9,3.3
2021-09-25 18:07:06,154,0.16,10.18,0.00,0.00,0.03,43.415889,-66.017816,9.9,3.3
2021-09-25 18:07:08,156,0.16,9.91,0.00,0.00,0.03,43.415888,-66.017817,9.9,3.3
2021-09-25 18:07:10,158,0.16,10.77,0.07,42.42,0.03,43.415888,-66.017818,10.0,3.3
2021-09-25 18:07:12,160,0.16,10.50,0.02,11.61,0.03,43.415888,-66.017819,10.2,3.3
2021-09-25 18:07:14,162,0.16,10.28,0.01,5.83,0.03,43.415887,-66.017820,10.3,3.3
2021-09-25 18:07:16,164,0.16,10.02,0.00,0.00,0.03,43.415887,-66.017821,10.4,3.3
2021-09-25 18:07:18,166,0.16,10.89,0.05,26.29,0.03,43.415887,-66.017820,10.3,3.3
2021-09-25 18:07:20,168,0.17,10.66,0.04,21.20,0.03,43.415886,-66.017820,10.3,3.3
2021-09-25 18:07:22,170,0.17,10.50,0.01,5.58,0.03,43.415886,-66.017820,10.1,3.3
2021-09-25 18:07:24,172,0.17,9.89,0.00,0.00,0.03,43.415886,-66.017819,10.0,3.3
2021-09-25 18:07:26,174,0.17,9.61,0.00,0.00,0.03,43.415886,-66.017818,9.8,3.3
2021-09-25 18:07:28,176,0.17,10.42,0.15,93.28,0.03,43.415887,-66.017816,9.6,3.3
2021-09-25 18:07:30,178,0.17,9.61,0.07,43.86,0.03,43.415887,-66.017815,9.5,3.3
2021-09-25 18:07:32,180,0.18,10.06,0.08,52.91,0.03,43.415887,-66.017814,9.4,3.3
2021-09-25 18:07:34,182,0.18,10.09,0.08,50.99,0.03,43.415887,-66.017813,9.2,3.3
2021-09-25 18:07:36,184,0.18,9.98,0.02,14.12,0.02,43.415888,-66.017813,9.1,3.3
2021-09-25 18:07:38,186,0.18,10.04,0.01,6.99,0.02,43.415889,-66.017812,8.9,3.3
2021-09-25 18:07:40,188,0.18,9.93,0.00,0.00,0.02,43.415890,-66.017811,8.8,3.3
2021-09-25 18:07:42,190,0.18,10.02,0.00,0.00,0.02,43.415891,-66.017810,8.7,3.3
2021-09-25 18:07:44,192,0.18,10.02,0.00,0.00,0.02,43.415893,-66.017807,8.3,3.3
2021-09-25 18:07:46,194,0.18,9.94,0.00,0.00,0.03,43.415895,-66.017805,8.0,3.3
2021-09-25 18:07:48,196,0.18,10.06,0.00,0.00,0.03,43.415896,-66.017804,7.7,3.3
2021-09-25 18:07:50,198,0.18,9.98,0.00,0.00,0.03,43.415896,-66.017803,7.7,3.3
2021-09-25 18:07:52,200,0.18,10.04,0.00,0.00,0.03,43.415897,-66.017803,7.7,3.3
2021-09-25 18:07:54,202,0.18,9.94,0.00,0.00,0.03,43.415898,-66.017802,7.7,3.3
